V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51462544271285	0	0	0	0	0	0	0	0	0	22.1398548180376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4648084911461	0	0	0	0	0	0	10.9290462763014	0	12.0491727455862	0	0	0	12.5505385451084	7.56309558303623	0	0	0	0	11.0841602887268	0	0	0	0	0	0	0	7.58404275212797	20.1191183909756	16.9522631711762	0	0	0	20.5506229300334	0	0	9.29177121540866	0	0	0	0	0	0	0	17.8299916335216	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2.54247995326236	17.9531200540547	-0.389175466116362	6.98722680573316	0	0	0	5.16338672425608	0	12.6298223056952	0	0	0	0	0	0	0	0	0	5.79955894822132	0	4.72766422783715	0	3.23363371499254	0	0	0	0	0	0	0	1.91679839581138	0	0	4.14463437475705	0	0	0	0	10.0814927936417	0	0	2.93975504543926	0	2.19359961971945	0	3.92778815363101	0	0	0	3.39847682586059	5.60988127129417	0	0	0	0	6.90034710947834	0	0	0	0	0	0	0	0	0	0	0	0	1.63906799993515	0	0	0	0	1.40464326581613	0	0	0	0	0	0	0	0	0	0	0	10.7737264777828	3.03088483183922	11.5751089244857	0	0	0	0	4.34605763354572	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	-10.3897205355572	0	0	0	0	0	0	0	-4.59684234539434	0	-5.36948108583342	0	0	-7.89292081950639	-4.93148431653125	-12.8597816193700	0	-10.8167106616644	-14.9755448330149	-6.10339034784724	0	-9.72425070380369	0	0	0	0	0	0	0	-3.05680217518427	-8.12115859461532	-8.08679899681462	0	0	-10.8787137144073	0	0	0	0	0	-12.0084864794909	0	0	0	0	-24.0315735499358	-2.77012542939023	-9.6179303831989	0	0	0.766761658565932	0	0	-3.599804462017	0	0	0	-9.789825601665	0	0	0	-1.72189496063785	0	-4.81473821621626	0	0	0	0	0	0	-18.9855073895901	0	0	-13.8878723863165	-12.6695403722483	0	0	0	0	0	-14.5080462570946	0	0	0	0	0	-6.97621147807829	0	0	-11.5311426599862	-13.9776195939418	0	-10.0807735846675	-8.71757200731582	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
