genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99
g0	11.2251543935	-2.06865003635	-7.12713433856	1.69874571846	2.53134933926	4.88652481663	-9.93660393523	6.58175587206	-10.4240101195	13.9701676314	2.39580799287	0.621816538477	10.1842210997	-4.10313829289	6.36824418077	0.654207737851	-1.88585025391	1.16128360663	-1.29292695346	1.24696753477	-0.228992980516	-1.2632761479	0.130077423973	0.0109162838246	-2.22162826146	-0.151401344566	-1.3784918039	0.521155268596	-2.14780551221	-0.804901436363	-0.8151708638	1.1716875732	1.25307189677	-0.309426887135	-2.31483482839	-1.26054730485	-1.14490777152	0.694175230433	-0.0125653129155	-0.584635637002	0.619517231167	-0.99409258882	-1.28148993868	-0.495987468871	0.283263216594	1.72771956299	0.244804255735	-1.78313164538	1.40128497098	-0.912235503051	0.836589543221	0.802219434604	1.05540298094	-0.324024594107	1.47422266307	0.64594212052	-0.671750352852	-1.94222524389	1.79808882423	0.648323609904	2.064104325	-0.285768724561	-0.745482497329	0.321938350372	-0.844827702842	0.210262103088	-2.05732006713	-0.218678414694	-0.819524181057	-0.0598256933982	0.737840436633	-0.0359144666569	-0.298080929426	1.44225084186	0.0224489662377	1.36756105493	0.0855227545802	0.469053863992	0.452633476961	0.768261444035	-0.428919522269	0.00989790906884	0.0407511798328	-2.86172496804	-0.419174502141	0.0158101862482	-0.571525382372	-2.01228620525	0.498066384294	1.16847630892	-0.543875598506	-0.584179320436	-0.915903573549	-1.91429423537	0.540239043943	0.543269463029	1.53904389521	0.0819072415441	-0.752028534639	-2.74685023357
g1	-2.90908704829	0.536106927108	1.84705291963	-0.440243313782	-0.656019090643	-1.26638133935	2.57514906243	-1.70571380056	2.70146420858	-3.62047881876	-0.620892484676	-0.16114864661	-2.63932099813	1.06336056029	-1.65038056647	-0.469541434238	0.235248189319	-1.49416899681	0.312563156096	0.658818682863	-0.328574625979	0.0433497619816	0.427218360364	0.422472654833	-0.433792496119	1.83952581543	-0.240811821193	0.138147707611	-0.756671956389	0.410918294365	-0.808628520885	0.975970562953	-0.273876780678	0.0164626341801	1.33353831752	-1.19867741396	0.834568015482	0.623411769959	1.30584217437	0.178995079882	-0.339603855667	0.693967263874	-0.0715081041072	1.46029932072	-0.541595607038	-1.02862442883	0.00715857651041	-0.0738703713805	-0.819471955598	0.401705140863	0.471388781142	0.620927279308	0.257002447807	-0.213613488697	-0.994660042996	-0.277589147716	-0.559268350393	-0.181272722395	-1.86400705995	-1.24833574502	1.21043325503	-0.0922466810266	0.46030341432	-0.427773457477	0.922645211631	0.726918982016	1.92536943759	0.638893215738	0.340502390093	-0.381398959003	1.51698999802	-0.817716052902	-0.185568361423	2.69362131255	-0.476645892367	-0.898559746092	-0.471151344148	-1.57204428367	-0.251168364438	0.280793688366	-0.737028808774	-0.581265551242	1.25656146523	-0.712454515936	1.26745355293	-1.84016031859	-1.52501566164	0.354575855592	1.56850854081	2.07440482855	-2.06936396107	0.600570293017	0.0387513036516	-2.18725965309	0.20702842054	-0.624326091478	-0.898113279114	-0.220043530377	-0.421799839283	-0.100383910359
g2	-3.21013962705	0.59158700392	2.03819881362	-0.485802756553	-0.723908512881	-1.39743529599	2.84164341376	-1.88223293861	2.98103053056	-3.99515117013	-0.685146761202	-0.177825430363	-2.9124563081	1.17340451343	-1.82117343626	2.11045258633	0.0441052486825	-2.2014093827	0.666683182031	-0.716824830925	-1.42980077361	1.45145152533	-0.969226494516	0.326584980354	-1.06418887686	0.257774944237	1.20608236206	-0.873119784753	0.494450019835	0.992616844876	1.16283786281	-1.32121112815	-0.425692512274	-0.97421161868	1.1633739393	1.2004686005	-1.4525767866	0.716309185643	-0.353517570243	1.48437798905	0.015458673682	-0.0844222506335	0.690262479058	1.63469344437	1.00904751182	0.313132277101	-0.125013999217	1.08312623549	-0.691898698968	-0.0351580073973	-0.244041980075	-1.05643075653	1.27917455617	1.73468308138	0.165572883866	-1.6544994121	-0.144960027878	-0.316291956329	-0.571454738001	1.28490834877	-0.235558368652	-1.80817613707	0.218013340744	0.978223459129	-0.902686989361	-1.18006028827	-0.927031218208	-1.35534174242	-0.955079327697	-0.548820168813	0.95860367353	0.261406202967	-1.13592497475	-1.01269055109	-1.74893212126	-0.221283785658	0.209771419052	0.573797196168	-0.699530145836	-0.54477919344	3.39172208276	1.29469128449	-0.194334020249	1.18309359888	-0.0698298825103	-1.13534162036	0.523250150404	-0.26533630362	0.540766291377	-0.441733021644	0.217090985649	1.36941744976	0.749217152223	0.142920643272	-0.294524221561	1.87442905035	-0.199289699414	-0.493502329191	0.714719282511	-0.427340427134
g3	-2.28180945623	0.420507821016	1.44877851649	-0.345314987057	-0.514563689448	-0.993315382917	2.01987750256	-1.33791592178	2.11895569794	-2.83980598297	-0.487011326686	-0.126400654084	-2.07021223895	0.834071356948	-1.29451402465	-0.26290672197	-0.109755518677	-0.554644038638	-0.406665396519	1.29638673843	-2.53349913855	0.674195545585	1.85582236751	-0.326996702796	-0.630023091348	2.0965428614	-0.911372640212	-1.37786575916	0.741395560851	0.604291607201	1.59683707908	0.928013194446	-0.966555267862	-1.72412868467	0.683694927105	0.641894033248	1.12885543521	0.403160623524	-0.389773976231	0.135501986347	-0.721841201862	-0.31690972205	0.0177773929639	0.777537436594	0.449950083042	0.953536725466	1.05345361457	1.23306519257	0.41428977201	-2.28066778036	-1.14412718324	-0.5398042263	-0.670226635852	0.361590043458	1.14551008068	1.15098661815	-0.086812537632	-2.34786739669	2.26581629096	1.04641682127	0.684193493761	-0.525446971581	-0.522487706403	1.02156984348	0.0641951914663	-1.00634985577	0.91548358444	0.245452293148	-0.425763344254	0.375383574934	1.35631889276	0.0599177704654	0.769939392377	-0.104644654679	1.72715421834	0.935745479222	1.58978937984	-2.04739599474	-0.44128040334	1.05255284379	-0.20749527651	0.40602817793	0.554577302483	-0.34463704642	-1.29115581877	-1.43967032761	-0.379542077697	-1.77698260067	1.40592263532	-0.112955001967	1.2708007617	0.143842034636	-0.517893277117	0.895724426415	-0.556971690732	1.35781904951	0.212590607938	-0.0399514633027	-0.195550458175	2.86084070543
g4	5.12798253909	-0.945020522128	-3.25588576876	0.776037288863	1.15639524919	2.23230906748	-4.53933457764	3.00674075432	-4.76199613885	6.38198577682	1.09447595318	0.284064186562	4.65245342226	-1.87443493281	2.90920229859	0.00671319438593	1.28580897445	0.0719914206421	-0.429002045491	-1.01925248321	-0.509013525814	-0.803527306374	-0.438389464831	-2.28180212166	0.52304151415	1.68166366282	0.431690197656	-1.50878667588	-0.346082692426	-1.110013411	1.40336712256	0.541188691772	0.45001388479	-0.427441272501	0.525381236306	0.173090372666	-1.40027790167	-0.222181905679	-0.107961494201	0.855501948275	-0.676055218673	0.626181196888	-1.43623980597	0.515734412127	0.790883531129	-2.30444199357	0.0995621908843	0.218360896587	-0.846847665444	1.53062031431	-0.55090170842	-0.853157989738	0.141936061429	0.394543832908	0.49009521784	0.387660261302	0.802976419019	-0.330837010694	0.256304479999	-1.06324898799	-1.03898407031	0.453655084955	-1.34766004887	0.377988904495	0.457153283972	0.109548749543	-2.25981715259	0.74213195338	1.04916325961	0.995561270578	-0.308543571991	-0.836808920825	-0.260295183939	-0.427993410223	-0.106063479061	-0.323403420591	0.187416847082	-0.531811773372	-0.575105487997	0.654301870334	0.347645945976	0.893667958327	1.6890642539	0.0263098391698	-0.992324969488	-2.07654955253	2.19141446092	-0.531015647666	-0.64224135629	-2.41962244697	0.395256532477	0.941809647966	0.534256625216	-2.1930637052	0.686037327623	-0.459344352622	-1.22786139275	0.901718226078	0.58782253774	-0.724236443873
g5	-2.39932424897	0.442164269717	1.52339162961	-0.363098951894	-0.541064081562	-1.04447182415	2.12390261536	-1.40681953326	2.22808340753	-2.98605798951	-0.512092752728	-0.13291037672	-2.1768296261	0.87702661878	-1.36118240789	1.44971967933	1.1641150571	-0.987552055616	-1.00898822835	0.445439643309	-1.08309612347	2.13110897611	-0.368811678017	0.73573300468	-0.202759894899	0.955247399606	0.14329440454	0.832595898621	0.808780212008	-0.747023764033	0.142937702497	-1.34723813923	0.636064762407	1.19921452803	0.000301132375289	0.169967711539	0.848997562393	0.899335079807	0.0736569066078	-0.729880553223	2.69278319042	1.7640724207	0.320747920772	0.841314312068	1.14040119334	-0.19536635295	-0.351182134165	0.389793849686	-0.381795977415	-0.581377384471	0.319522852309	-0.122511608835	0.0646967505131	-1.37407347973	-1.18136839904	-0.0179828099011	0.28018651772	1.05148319446	1.02984061461	0.0447379984469	-0.100775591346	0.475626553198	0.300755051603	0.104955217271	0.706677584428	1.11633221532	-0.46448461276	-1.14676441185	1.8499691332	1.05990294229	-0.601357332363	1.28506272707	1.10170295855	-0.320983297923	0.190879002699	-0.786565785283	-1.72213965718	-0.652844418314	-0.119730712916	-0.697769218426	1.51539075666	-0.149958638452	-1.04409746114	0.327717275547	0.965883349725	0.242940707132	0.197902619488	0.537934551764	0.018431430027	-0.754922781443	-0.545368474916	-0.138368504486	1.5162303165	0.270052284728	1.99985422523	-0.523648613518	1.24853378356	0.835298294951	1.04025702883	-0.191782603866
g6	-7.56403009504	1.39395241995	4.80259395447	-1.14469371982	-1.70574068846	-3.29276725089	6.69574498254	-4.43509262761	7.02418189457	-9.41374743654	-1.61440663751	-0.419008847963	-6.86260092219	2.76488504688	-4.29121853894	0.15300991166	-1.28347842418	0.63180805105	-0.0617323524872	0.658940039091	0.558537249708	-1.10082544607	-0.911788383333	-0.9789769006	1.79081754942	-0.594252485181	-0.13349709138	-0.111337834671	0.523790930065	0.0876492995445	-1.55065679927	1.0330026944	1.28884973	-0.346282960172	-0.167624759132	0.687951182741	-1.57494702519	-0.695019712311	-1.80453977994	0.444874335585	0.561342421068	0.755318113771	-0.045169362537	-0.190966762444	0.648409764734	-0.822672602156	-0.871177874475	0.155802545476	0.860859462298	-0.663306739935	-1.84331432419	-0.587338851352	-0.105212325328	2.82118614983	1.55497354393	-0.93898070535	1.71070055284	1.49730634077	-0.485609247824	-1.05283808835	-0.954529377512	-0.190429218947	-1.0309846136	0.445946922872	1.33775410313	-0.0608628338738	-0.0316916158762	-0.671897786052	0.442039742453	-0.575572694434	0.789836439908	-1.30197355902	1.20999982354	-0.942168993035	-0.53703467919	0.96907762729	0.127996212298	-0.303333736416	1.35450770181	-0.202329890326	0.936164115805	-1.42508940317	-1.50612391282	0.49107401998	1.06514615855	-1.90666300711	-0.829713392224	-0.92893090755	1.74895950498	-0.503700637896	0.447677463049	0.105153179178	0.344037535823	-0.479949297133	0.120252132071	2.38635699512	-0.109519382383	-1.75245064453	-0.110453262448	-0.735488104132
g7	-7.28185990004	1.341952121	4.62343696334	-1.10199182069	-1.64210937332	-3.16993315774	6.44596548092	-4.26964498451	6.7621503122	-9.06257499057	-1.55418246733	-0.403378052362	-6.60659699094	2.66174318427	-4.13113800559	0.743061513972	-1.28410911832	0.795278067712	-1.43224412613	-0.170467187912	-0.093899797505	2.15250662875	-1.00427309978	0.51644229723	0.10579097771	-1.36243001056	-1.18786055078	1.19739955166	-0.363982671764	0.0675897370313	0.799833712143	0.945182171647	2.22694916402	0.318846141283	-0.710400991865	1.38186574317	0.954060159404	0.319672624262	-1.44577278728	-0.457049384124	0.0584598304987	0.343318529525	-1.00737976317	0.192427343228	-0.619566654586	0.816322242178	-0.00539272923872	-1.64186498224	0.479499661278	-1.13815437229	-0.543938884431	-1.53094691091	0.361906949084	-0.381071544143	-1.73866326986	-0.750800886138	-0.00562132089329	-1.40743271896	-0.202992886869	2.58256745392	1.07775225165	0.526749115613	0.765077712506	0.355530894283	-0.542271348056	-1.52836564837	0.399347848604	-1.76907426648	0.42310968676	-0.181151710147	1.31043819337	1.19590504453	-0.778606275801	-0.188760822566	0.543465272875	1.62903852554	-1.59037488386	0.522515637076	1.48790713745	0.469747297541	0.547064306298	2.13727840923	1.74811835111	0.934301912736	-1.9373069633	-1.14440523952	0.874565724446	-1.2298588679	-0.771635254736	0.43115952788	-0.607078295913	-1.24369216229	-2.47129033779	1.34563457483	-0.0308931399431	-0.612476144434	1.34153539588	0.904739678485	0.69703543604	-0.59602344941
g8	4.70385818031	-0.866859916096	-2.98659848991	0.711852921031	1.06075229608	2.04767960656	-4.16389602021	2.75805972144	-4.36814172467	5.85414551905	1.00395421129	0.260569851303	4.26765904954	-1.71940446852	2.66858846069	-0.171265679118	0.994027387126	-0.314919886448	-1.54103007021	-1.01628852262	-0.35910895378	1.13023357017	-0.378601412646	-0.675812562962	0.778378080005	-1.41559439554	-0.990252874343	-2.30921168635	-1.6434270841	-0.261728528512	-0.611709056713	-2.17195709247	0.22426668116	1.73099216618	0.274684390326	1.75470922248	-1.05848860033	0.0191400315958	-0.0509536740131	0.605822503311	-2.57644957285	0.236651994469	1.11679494141	0.413611304881	0.787133763299	-1.01280466761	-0.358312432389	-1.84587397577	-1.78478746231	-0.911451502043	-0.111466262519	0.0103160113317	0.713954790235	1.16733847723	1.1204588797	-1.62145608657	1.95210918406	1.03487222595	1.08848691771	0.389680425737	-1.66424453922	-2.14961516571	-0.259806150813	-0.596723238832	0.2938168268	-0.61547560845	0.315398528531	-0.326663562019	-1.06899820709	0.206865987166	0.10437615434	-0.36925275021	-1.39997707695	-0.113725946671	-1.41442664261	0.134820782252	-0.430561301053	0.44331047807	-0.888834898737	-0.0687701220286	-0.192867851444	-1.71168710628	0.98695668159	0.188853026956	1.06142929285	0.695465449237	1.00834561596	-0.0465082095663	0.000284399283885	-0.509593324253	1.02422145955	1.46083521057	-0.302288158537	0.439577762362	-0.13647746297	-0.316659713317	-0.573240137813	-0.160111006946	1.52910553275	-0.671356618881
g9	-0.724739782267	0.133560120812	0.460155611909	-0.109677654219	-0.163433793841	-0.315493115506	0.641545935142	-0.424943849361	0.673014780866	-0.901968551388	-0.154682715465	-0.0401469028316	-0.657533065792	0.264914623778	-0.411158701181	-0.651857605554	0.0703930952239	-2.46886005803	0.234923402467	-1.55318638779	0.322787419241	-0.596712448453	1.53299008608	-0.137254250831	0.669202810247	-0.137002881173	0.845574977407	-0.700803634809	-1.07385587655	0.0936053422967	1.24576671135	1.0522680667	0.614059134207	0.0953300996094	0.226864710677	0.111837283576	0.587248382261	0.297930032373	0.446803880533	0.0833238252518	1.71673962604	-0.240709819076	-0.948388234329	-0.0119920701212	1.45188130589	0.389417462761	1.79368502496	-0.294580042935	0.479782105724	1.17354089485	-0.601820120047	0.719552096851	1.33044980653	0.200790774643	0.206038522391	0.456712591918	-0.118061201573	1.43609728981	-0.224772310547	-0.782636596296	-0.250420661986	1.41634414876	-0.385227122199	-1.17434935927	-0.0713691564753	1.63548162432	-0.70794085442	0.872428196825	1.46099095496	0.361009282482	2.20211607308	-0.460649169236	-0.401843729631	1.91233332293	-1.76577155808	0.532090837752	-1.08082407914	-0.970240910302	-1.51355968338	0.250705140057	0.0626363475899	-0.346759426628	1.19883723843	0.42954465152	0.210978208748	-0.649227631887	-0.168751002163	1.31945986513	0.0126465492432	0.822560114585	0.627163809078	0.357515113331	0.189204245639	0.574769500975	-1.34690926761	-0.812114568212	0.365027493201	-0.579825459564	1.40760252614	-0.0718254313191
