genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99
g0	1.81238	1.95996	1.14037	0.573335	1.19147	0.150394	0.299451	-0.507488	-0.897946	-0.593056	-0.72802	-1.49251	-1.62356	-1.22916	-1.95996	-0.620759	-1.26177	-0.561061	-1.0815	-1.65225	-1.01283	-0.789085	-0.517197	-0.393836	-0.560857	0.473177	0.535216	0.415161	0.448995	0.427792	0.702295	0.460916	0.515427	0.555198	0.491191	0.450587	0.505339	0.41229	0.364113	0.357579	0.44263	0.361161	0.519294	0.613998	0.579121	0.50076	0.478438	0.453197	0.407678	0.541191	0.360523	0.536399	0.529303	0.570599	0.4762	0.546329	0.532024	0.631518	0.340578	0.554212	0.564938	0.278655	0.384028	0.396907	0.474063	0.480239	0.499215	0.691322	0.361367	0.436431	0.345018	0.593128	0.579298	0.438647	0.482417	0.614346	0.376068	0.665422	0.532188	0.541889	0.521331	0.460783	0.546649	0.410622	0.495189	0.46866	0.432452	0.606909	0.544602	0.472126	0.438385	0.662161	0.641873	0.630364	0.450303	0.603058	0.485418	0.651851	0.566848	0.600576
g1	-1.78896	-1.95996	-1.55933	-0.951202	-1.21144	-1.15347	-1.51478	-1.38774	-0.663493	-0.855048	-0.740861	-0.02645	0.425833	0.372332	0.534667	0.397111	1.06348	0.831383	1.22905	1.95996	1.86417	1.69211	1.48824	1.22572	1.58732	0.545098	0.62535	0.267828	0.687128	0.514021	0.605758	0.48615	0.602821	0.549383	0.54011	0.513907	0.389255	0.576914	0.614315	0.579228	0.764761	0.462325	0.466031	0.419648	0.418782	0.498169	0.536702	0.501602	0.493182	0.474885	0.705306	0.492663	0.572124	0.384833	0.377095	0.63454	0.729433	0.334705	0.575144	0.439761	0.531779	0.603573	0.609866	0.522442	0.359412	0.624647	0.422804	0.589144	0.403857	0.599333	0.537036	0.485027	0.584652	0.519106	0.648001	0.404985	0.536382	0.645681	0.47798	0.593141	0.424508	0.511825	0.537295	0.481073	0.482883	0.613562	0.63428	0.362918	0.453863	0.434288	0.433652	0.475798	0.554948	0.867453	0.305616	0.589662	0.330865	0.442432	0.361616	0.519823
g2	-1.0361	-1.31624	-0.0551121	0.79479	0.271696	1.25715	0.128552	0.192575	0.867832	0.274745	1.08937	1.24528	1.95996	1.53954	1.72033	-0.00563509	0.133298	-0.512353	0.354302	0.99087	0.116142	-0.661557	-1.92602	-1.95996	-1.15963	0.524452	0.533738	0.450833	0.637375	0.750022	0.57613	0.465072	0.381637	0.344765	0.48252	0.879278	0.702422	0.750522	0.569313	0.572679	0.581465	0.569615	0.573317	0.539075	0.478161	0.446946	0.522358	0.653578	0.376526	0.180284	0.595998	0.504721	0.330241	0.673911	0.549398	0.314316	0.410857	0.449615	0.562632	0.514358	0.672692	0.54679	0.582034	0.480957	0.299628	0.740612	0.565451	0.394011	0.426898	0.519178	0.600857	0.326342	0.419337	0.580861	0.455637	0.455985	0.369575	0.761415	0.503218	0.525559	0.429832	0.45022	0.548005	0.395519	0.491275	0.595902	0.307462	0.771013	0.444021	0.490064	0.649975	0.536599	0.587376	0.586454	0.721211	0.458843	0.447525	0.61989	0.623665	0.543071
g3	0.280828	1.95996	-0.0488305	-0.21925	0.50956	0.0525113	1.28893	0.0777197	-0.388081	1.29838	0.0146939	-0.0762607	-1.18541	-0.533652	-1.66873	-0.850666	-1.95996	-0.39915	-1.15719	-1.162	-0.563021	0.129021	0.20108	1.70672	1.44171	0.454774	0.4255	0.452145	0.541259	0.364565	0.650767	0.335788	0.624272	0.570385	0.539777	0.427949	0.53752	0.491825	0.369907	0.67205	0.600056	0.55833	0.497347	0.300444	0.389411	0.490246	0.629878	0.537602	0.611671	0.515087	0.640435	0.617702	0.625899	0.457159	0.519857	0.52669	0.395731	0.459064	0.426487	0.479975	0.389183	0.579353	0.488522	0.478791	0.604287	0.434473	0.714809	0.454947	0.604452	0.503298	0.607469	0.473614	0.583488	0.503266	0.509262	0.34355	0.566925	0.364179	0.424241	0.536633	0.526246	0.527821	0.458213	0.503522	0.59169	0.579447	0.547632	0.567564	0.437895	0.493881	0.533383	0.374224	0.509723	0.635414	0.602937	0.48483	0.688494	0.684197	0.590597	0.546687
g4	1.7398	1.95996	1.07921	0.269442	0.632282	0.250675	0.591848	0.528973	0.236965	0.306377	0.175133	-1.25927	-1.95996	-1.83251	-1.91055	-0.846067	-1.17648	-0.0177385	-0.0726737	-0.226882	0.377994	0.518885	1.42882	1.90531	1.56119	0.541275	0.434892	0.669531	0.375788	0.501633	0.517387	0.628479	0.559723	0.464553	0.32074	0.745379	0.414502	0.544069	0.399259	0.550891	0.632523	0.546102	0.627039	0.461465	0.470977	0.413263	0.503513	0.528812	0.518618	0.587111	0.648615	0.5798	0.418681	0.436933	0.475536	0.45346	0.439184	0.552414	0.68559	0.584005	0.637022	0.234077	0.494268	0.53988	0.584989	0.357752	0.676816	0.613953	0.49922	0.434594	0.688389	0.417245	0.764439	0.518785	0.325227	0.510757	0.443972	0.504545	0.490705	0.49421	0.657404	0.455399	0.456333	0.31808	0.490838	0.58793	0.558152	0.604858	0.570835	0.529414	0.436599	0.674235	0.437518	0.442188	0.488148	0.50249	0.598696	0.428805	0.553604	0.592401
g5	-1.64677	-1.95996	-1.81195	-1.02514	-1.05849	-0.111153	-0.459965	0.442063	1.26134	1.07758	1.18737	1.21632	1.55742	1.21103	1.49003	1.36448	1.63956	1.58868	1.9111	1.95996	1.79708	1.72534	1.65317	1.5454	1.75769	0.4203	0.544589	0.50166	0.513763	0.658987	0.485735	0.478826	0.512231	0.601672	0.431651	0.506442	0.518015	0.574964	0.487762	0.601281	0.434209	0.657176	0.333907	0.397678	0.395328	0.400672	0.452618	0.542977	0.386096	0.539136	0.639822	0.43436	0.479393	0.56786	0.622892	0.413597	0.686515	0.56144	0.567443	0.318364	0.439696	0.568422	0.71841	0.562336	0.454926	0.261662	0.522917	0.401044	0.467104	0.408562	0.667051	0.637018	0.491661	0.452154	0.510911	0.698115	0.446968	0.546485	0.544866	0.52142	0.479263	0.183265	0.667064	0.438823	0.541821	0.491696	0.576236	0.40823	0.627811	0.464251	0.556253	0.544914	0.505092	0.668299	0.56024	0.508091	0.590511	0.470182	0.594728	0.420053
g6	0.582449	1.34294	0.29465	0.0149365	0.774516	0.586412	1.12149	0.580037	0.231998	1.95996	1.36102	0.969147	-0.865711	-0.835273	-1.95996	-0.415347	-0.683523	-0.314645	-0.610856	-0.948961	-0.585325	-0.415706	0.631061	1.6236	1.41333	0.488784	0.645161	0.463462	0.450271	0.386041	0.464661	0.551209	0.593929	0.34825	0.474152	0.663229	0.422647	0.475079	0.523682	0.704055	0.505936	0.404056	0.428892	0.624099	0.579779	0.462403	0.354864	0.498358	0.58255	0.664086	0.486134	0.498058	0.469494	0.569464	0.443664	0.605249	0.507253	0.391156	0.592211	0.426192	0.667599	0.480587	0.560254	0.546319	0.627985	0.432393	0.591229	0.679261	0.491743	0.658887	0.49037	0.576934	0.503339	0.463371	0.60527	0.264489	0.580699	0.555363	0.363863	0.525483	0.354201	0.370496	0.487102	0.454496	0.378424	0.559262	0.409385	0.392506	0.63725	0.412124	0.349578	0.628568	0.46424	0.490574	0.630052	0.409091	0.548412	0.539125	0.639315	0.64954
g7	-1.27774	-1.95996	-1.00133	-0.111414	-0.597849	-0.381445	-0.564425	0.260388	0.587988	0.561295	0.802063	1.90587	1.95996	0.670331	1.2531	0.141071	0.454438	0.330123	0.779315	1.03565	0.776503	0.245519	-0.0460534	-0.319206	-0.00251029	0.807115	0.515631	0.584632	0.646684	0.630519	0.4814	0.519143	0.558159	0.48172	0.705482	0.560351	0.64293	0.425043	0.403139	0.662785	0.485017	0.500037	0.402018	0.444018	0.15694	0.498117	0.376078	0.662857	0.778049	0.552558	0.452159	0.383283	0.381058	0.584123	0.509514	0.516343	0.371382	0.537313	0.467564	0.589203	0.467228	0.487518	0.463301	0.7069	0.442485	0.423252	0.595289	0.577431	0.545159	0.564809	0.654971	0.532652	0.587346	0.35553	0.70621	0.39532	0.570158	0.305665	0.597455	0.4251	0.657239	0.574719	0.49507	0.548702	0.516411	0.430471	0.422968	0.542425	0.373661	0.385945	0.512329	0.449367	0.440729	0.538939	0.549238	0.568911	0.549552	0.434674	0.585339	0.480641
g8	0.456687	-0.0289699	0.270139	1.23359	0.132434	0.268935	-0.693892	-0.332472	0.668441	0.284154	1.01797	1.20948	1.95996	1.80907	1.86194	1.12271	1.36124	0.633094	0.831981	1.86983	1.13596	0.00770821	-1.41057	-1.95996	-1.90082	0.451851	0.597439	0.509596	0.561202	0.482765	0.617175	0.413359	0.480145	0.553393	0.315706	0.46674	0.374663	0.44453	0.730842	0.543005	0.462948	0.491722	0.473969	0.463606	0.461148	0.556189	0.51163	0.492242	0.555266	0.640707	0.355383	0.446991	0.425187	0.514891	0.499087	0.400579	0.445101	0.480055	0.71834	0.639005	0.456563	0.670064	0.664235	0.485185	0.600746	0.454113	0.506449	0.575644	0.351385	0.253074	0.478324	0.50693	0.417769	0.465116	0.383328	0.582003	0.601525	0.559157	0.390046	0.554873	0.448016	0.611576	0.425599	0.383542	0.488432	0.615875	0.433419	0.545573	0.351119	0.219603	0.603223	0.593678	0.341839	0.582021	0.240654	0.577523	0.497344	0.534158	0.453295	0.361845
g9	-1.62503	-1.95996	-0.480531	-0.398553	-0.449868	-0.195657	-0.789301	-0.751645	-0.315717	-1.01979	-0.326063	-0.297327	1.34154	1.27332	1.95996	1.50699	1.83789	1.23545	1.60595	1.67573	1.55925	1.50162	0.965966	0.270159	0.621401	0.551929	0.46003	0.645663	0.567864	0.538042	0.381752	0.508844	0.498309	0.424957	0.536144	0.579587	0.422612	0.324627	0.440279	0.469118	0.366702	0.575084	0.405259	0.514286	0.476353	0.603243	0.457171	0.475755	0.513765	0.463059	0.534951	0.529457	0.663939	0.679013	0.705705	0.382049	0.56215	0.578733	0.556995	0.369779	0.644961	0.535141	0.529797	0.51722	0.418989	0.729193	0.436417	0.593872	0.496019	0.489588	0.668752	0.321437	0.305253	0.57113	0.704114	0.453277	0.74403	0.613694	0.45526	0.468697	0.538045	0.336475	0.332143	0.552912	0.428925	0.556862	0.457248	0.381388	0.605658	0.514514	0.596342	0.446573	0.498597	0.345626	0.244827	0.515452	0.419997	0.570385	0.425478	0.324454
