genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99
g0	0.391191	0.488989	1.17357	1.56476	0.88018	0.586786	0.684584	1.85816	0.977977	0.195595	1.07578	1.36917	0.293393	1.76036	1.46697	1.95595	1.66256	1.27137	0.782382	0.0977977	0.511372	0.224501	0.625141	0.278381	0.438063	0.531536	0.48136	0.591165	0.506642	0.654967	0.412676	0.41681	0.509926	0.521078	0.469122	0.428141	0.502495	0.416018	0.392488	0.395775	0.496397	0.55082	0.702447	0.450892	0.55216	0.649779	0.464658	0.331337	0.424444	0.436214	0.403594	0.415382	0.433324	0.496617	0.469219	0.472959	0.504935	0.613143	0.549761	0.622039	0.517657	0.322648	0.527398	0.442236	0.3253	0.490244	0.574773	0.479488	0.618019	0.531941	0.419281	0.477285	0.56754	0.386906	0.553848	0.448098	0.53396	0.454599	0.54246	0.482875	0.338082	0.330206	0.438728	0.386685	0.586037	0.579157	0.468701	0.411357	0.593851	0.518583	0.429008	0.519474	0.41028	0.491201	0.503531	0.386996	0.377122	0.645268	0.356526	0.415912
g1	0.0427474	0.0534342	0.128242	0.17099	0.0961816	0.0641211	0.0748079	0.20305	0.106868	0.0213737	0.117555	0.149616	0.0320605	0.192363	0.160303	0.213737	0.181676	0.138929	0.0854948	0.0106868	0.46268	0.636482	0.293003	0.372759	0.2834	0.395015	0.332408	0.378083	0.403047	0.462071	0.51526	0.409629	0.576363	0.423293	0.615483	0.419613	0.308253	0.703663	0.610963	0.436552	0.423304	0.4123	0.455398	0.509944	0.630434	0.542781	0.413477	0.289627	0.470837	0.493601	0.433955	0.552766	0.266325	0.420615	0.518736	0.499755	0.340724	0.293923	0.423592	0.465923	0.270893	0.439479	0.47307	0.685994	0.319009	0.414506	0.344651	0.51912	0.208036	0.702698	0.581017	0.443166	0.505121	0.507491	0.373689	0.584114	0.337	0.638441	0.409121	0.692129	0.166433	0.330206	0.402152	0.254912	0.452787	0.51645	0.544351	0.525052	0.689637	0.37665	0.383552	0.313047	0.525178	0.518028	0.476086	0.392385	0.450203	0.501934	0.4644	0.344187
g2	-0.324878	-0.406098	-0.974634	-1.29951	-0.730976	-0.487317	-0.568537	-1.54317	-0.812195	-0.162439	-0.893415	-1.13707	-0.243659	-1.46195	-1.21829	-1.62439	-1.38073	-1.05585	-0.649756	-0.0812195	0.662601	0.570168	0.383367	0.547014	0.381665	0.45709	0.452207	0.510652	0.647497	0.525203	0.407041	0.393658	0.562622	0.415994	0.308383	0.480002	0.413217	0.32356	0.475685	0.521548	0.598632	0.522085	0.42466	0.462289	0.416234	0.357799	0.277285	0.470321	0.372131	0.303242	0.383449	0.512817	0.515307	0.498578	0.565617	0.460919	0.435005	0.362552	0.513543	0.539279	0.495749	0.295443	0.427949	0.457345	0.361649	0.431464	0.448395	0.439393	0.465027	0.53284	0.566074	0.49505	0.600416	0.510577	0.508459	0.484895	0.486282	0.500197	0.497155	0.75373	0.508604	0.494266	0.390486	0.371701	0.417035	0.374684	0.468961	0.472336	0.384937	0.555654	0.412486	0.48039	0.487713	0.489184	0.404979	0.354436	0.2518	0.475	0.561553	0.509313
g3	0.346059	0.432574	1.03818	1.38424	0.778633	0.519089	0.605604	1.64378	0.865148	0.17303	0.951663	1.21121	0.259544	1.55727	1.29772	1.7303	1.47075	1.12469	0.692118	0.0865148	0.571531	0.5313	0.43786	0.463894	0.440664	0.423594	0.771157	0.418003	0.507749	0.322666	0.408525	0.361181	0.394083	0.464726	0.594324	0.377933	0.328424	0.534137	0.471772	0.4876	0.38103	0.487787	0.54518	0.511605	0.584235	0.329151	0.383521	0.58758	0.537204	0.645542	0.476476	0.634245	0.378878	0.545376	0.671913	0.449361	0.500754	0.405456	0.550587	0.323952	0.507895	0.333731	0.476084	0.329566	0.37856	0.435605	0.541586	0.33193	0.362229	0.419237	0.60563	0.417151	0.29364	0.384413	0.501132	0.68922	0.507508	0.431006	0.365285	0.474384	0.463112	0.455318	0.540698	0.356741	0.402876	0.49305	0.380596	0.50736	0.457506	0.384308	0.685404	0.402487	0.277732	0.394566	0.426975	0.555334	0.607955	0.547544	0.44337	0.455134
g4	0.00870307	0.0108788	0.0261092	0.0348123	0.0195819	0.0130546	0.0152304	0.0413396	0.0217577	0.00435154	0.0239334	0.0304608	0.0065273	0.0391638	0.0326365	0.0435154	0.0369881	0.028285	0.0174061	0.00217577	0.405949	0.561506	0.378002	0.535719	0.663868	0.539286	0.319538	0.531014	0.440304	0.466733	0.50554	0.604394	0.480737	0.374196	0.440043	0.448694	0.488882	0.695256	0.390968	0.393193	0.484535	0.437154	0.428653	0.42705	0.501615	0.561644	0.375029	0.513554	0.562788	0.580535	0.560373	0.642894	0.194264	0.607252	0.578176	0.440651	0.516981	0.546365	0.454029	0.460223	0.348673	0.586655	0.427446	0.57296	0.451539	0.363771	0.637764	0.525024	0.510171	0.550215	0.497786	0.605905	0.450029	0.308452	0.43613	0.422634	0.509362	0.533932	0.55473	0.402158	0.364132	0.517999	0.715254	0.469476	0.335702	0.526187	0.559077	0.581403	0.438872	0.394873	0.423199	0.470046	0.511245	0.43552	0.425503	0.485709	0.343338	0.580492	0.448626	0.4842
g5	0.207018	0.258772	0.621053	0.82807	0.465789	0.310526	0.362281	0.983333	0.517544	0.103509	0.569298	0.724561	0.155263	0.931579	0.776316	1.03509	0.879824	0.672807	0.414035	0.0517544	0.596191	0.446285	0.488787	0.747965	0.509819	0.490561	0.533471	0.418256	0.642812	0.406794	0.490161	0.41208	0.512761	0.559631	0.851043	0.506371	0.120572	0.560152	0.548509	0.53982	0.331931	0.468388	0.356448	0.314998	0.419864	0.684525	0.430672	0.3267	0.527314	0.586549	0.566868	0.507675	0.414617	0.4073	0.380072	0.359258	0.405158	0.626192	0.515999	0.451924	0.498698	0.639644	0.46448	0.393371	0.42423	0.432861	0.651106	0.198342	0.378588	0.609252	0.492707	0.55704	0.360064	0.330419	0.422628	0.342218	0.455016	0.54175	0.472913	0.683481	0.415758	0.359511	0.522563	0.530689	0.505041	0.565171	0.525151	0.570281	0.457522	0.440279	0.345955	0.406165	0.489199	0.525273	0.636445	0.327458	0.658214	0.610571	0.419794	0.623755
g6	0.0872848	0.109106	0.261854	0.349139	0.196391	0.130927	0.152748	0.414603	0.218212	0.0436424	0.240033	0.305497	0.0654636	0.392782	0.327318	0.436424	0.37096	0.283676	0.17457	0.0218212	0.534728	0.595506	0.425824	0.449489	0.581677	0.349136	0.269769	0.192768	0.566169	0.374979	0.440734	0.523991	0.47119	0.393845	0.544882	0.498723	0.326127	0.211143	0.423379	0.488213	0.63484	0.321734	0.625239	0.520488	0.477428	0.351296	0.309901	0.438592	0.521677	0.508852	0.358597	0.594238	0.366748	0.337224	0.399875	0.296257	0.483853	0.520273	0.405541	0.411037	0.409182	0.372261	0.517676	0.382375	0.356593	0.32695	0.42541	0.428108	0.521693	0.374922	0.733676	0.505357	0.452668	0.426831	0.628306	0.29316	0.395924	0.327972	0.446597	0.569831	0.60812	0.409848	0.504238	0.604241	0.320014	0.398673	0.562019	0.50347	0.307907	0.37399	0.514208	0.384462	0.496981	0.375667	0.507181	0.647804	0.540988	0.583261	0.47414	0.423082
g7	0.0154048	0.019256	0.0462145	0.0616193	0.0346609	0.0231072	0.0269584	0.0731729	0.0385121	0.00770241	0.0423633	0.0539169	0.0115536	0.0693217	0.0577681	0.0770241	0.0654705	0.0500657	0.0308097	0.00385121	0.404808	0.634294	0.482332	0.539224	0.467874	0.423849	0.394555	0.419373	0.308771	0.60113	0.328363	0.699216	0.221516	0.3038	0.222271	0.443971	0.610212	0.502609	0.302272	0.51918	0.44431	0.531304	0.406292	0.503617	0.532919	0.389212	0.454442	0.483587	0.366175	0.450979	0.292749	0.407211	0.629687	0.373655	0.299489	0.794322	0.446941	0.608116	0.442061	0.491655	0.691994	0.522107	0.462751	0.472358	0.616252	0.43149	0.395778	0.453341	0.374451	0.337104	0.447354	0.342375	0.560794	0.532115	0.156358	0.320008	0.464354	0.530515	0.668205	0.477773	0.225321	0.303095	0.47772	0.587459	0.595889	0.606401	0.415967	0.615815	0.574108	0.502582	0.443845	0.43811	0.384502	0.439425	0.468597	0.559494	0.286451	0.463353	0.417269	0.484561
g8	-0.132261	-0.165326	-0.396782	-0.529043	-0.297587	-0.198391	-0.231456	-0.628238	-0.330652	-0.0661304	-0.363717	-0.462913	-0.0991956	-0.595173	-0.495978	-0.661304	-0.562108	-0.429847	-0.264521	-0.0330652	0.462406	0.490127	0.491296	0.301387	0.447298	0.339496	0.54085	0.457759	0.542113	0.348055	0.585576	0.430661	0.491317	0.461269	0.566803	0.526825	0.3318	0.139899	0.432824	0.583799	0.316469	0.291812	0.77389	0.545834	0.531705	0.445632	0.534187	0.413665	0.52936	0.472144	0.472256	0.545744	0.416357	0.510728	0.438563	0.321048	0.41377	0.474034	0.486577	0.583931	0.508632	0.701879	0.495635	0.422047	0.161988	0.570527	0.4223	0.431447	0.442533	0.396105	0.402823	0.641414	0.523722	0.499107	0.541985	0.227791	0.271608	0.526336	0.475912	0.553673	0.459623	0.427674	0.496978	0.430068	0.438512	0.654584	0.423217	0.602364	0.307535	0.409551	0.394275	0.571444	0.297327	0.439524	0.522584	0.642694	0.609772	0.478421	0.413955	0.449886
g9	0.119496	0.14937	0.358488	0.477984	0.268866	0.179244	0.209118	0.567606	0.29874	0.059748	0.328614	0.418236	0.0896219	0.537732	0.44811	0.59748	0.507858	0.388362	0.238992	0.029874	0.288668	0.546647	0.36706	0.517272	0.73207	0.340208	0.502823	0.50429	0.607059	0.520359	0.359552	0.474637	0.429871	0.556559	0.615327	0.533079	0.531907	0.40183	0.332728	0.542736	0.394536	0.495494	0.390933	0.514648	0.540978	0.411761	0.326578	0.615676	0.588954	0.316817	0.352954	0.686825	0.396928	0.448064	0.40657	0.382113	0.501338	0.412924	0.592587	0.395096	0.453409	0.531789	0.543029	0.407843	0.609709	0.449841	0.486045	0.224885	0.413507	0.503614	0.300189	0.469904	0.648827	0.348508	0.348161	0.662894	0.364649	0.421918	0.401915	0.534916	0.285633	0.354225	0.268884	0.572155	0.608906	0.526859	0.468692	0.509576	0.355777	0.663838	0.487535	0.453772	0.580113	0.89837	0.47738	0.57626	0.492487	0.54216	0.279758	0.440497
