genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99
g0	-1.85431	-0.836259	0.0672274	-1.67963	-1.03683	-0.204851	1.95996	0.850419	-0.690822	-1.95996	0.804826	0.484808	1.37524	1.84527	0.996868	0.676905	0.524675	0.460709	0.625503	0.577469	0.544001	0.839788	0.472386	0.668981	0.419694	0.629684	0.266495	0.380494	0.427561	0.539862	0.510968	0.415197	0.468288	0.638478	0.597739	0.429883	0.524767	0.492407	0.312046	0.496872	0.57819	0.662803	0.684738	0.593272	0.431189	0.347495	0.490856	0.463678	0.511781	0.375022	0.49025	0.377545	0.770716	0.679045	0.564706	0.39107	0.488195	0.542199	0.635661	0.454416	0.245181	0.543209	0.290618	0.555344	0.333323	0.525222	0.389618	0.441376	0.361538	0.494076	0.629981	0.952593	0.6359	0.487292	0.520497	0.312063	0.401103	0.246129	0.322031	0.551455	0.578981	0.41824	0.458515	0.23017	0.505729	0.458148	0.635776	0.489759	0.542515	0.606197	0.668991	0.547703	0.799397	0.771689	0.500712	0.540417	0.66813	0.454326	0.51845	0.667666
g1	1.95996	1.50668	0.98851	1.49532	-0.194779	-1.26715	-1.67143	-1.59815	-1.36792	-0.51764	-0.954478	-0.515105	-1.10967	-1.95996	-1.77046	0.646295	0.683379	0.601732	0.531381	0.452921	0.459632	0.475729	0.557444	0.491586	0.596947	0.419297	0.492098	0.677261	0.501522	0.589656	0.631525	0.464832	0.390663	0.65473	0.57804	0.233435	0.512623	0.378962	0.645728	0.607435	0.651395	0.588793	0.522382	0.458864	0.388916	0.515233	0.474708	0.803586	0.494376	0.413728	0.650695	0.548654	0.455272	0.342302	0.435061	0.586047	0.624442	0.391569	0.412343	0.427454	0.582316	0.598653	0.468708	0.573087	0.352391	0.388908	0.591562	0.293328	0.566982	0.439984	0.707627	0.475917	0.301017	0.460328	0.434393	0.39489	0.734285	0.631359	0.448392	0.312562	0.463143	0.486498	0.648922	0.620717	0.285201	0.529315	0.702579	0.404663	0.422815	0.49994	0.506792	0.386304	0.611369	0.63605	0.283299	0.458465	0.513017	0.29742	0.621379	0.508074
g2	-0.925748	-1.6038	-1.84897	-0.341329	-0.568846	-1.32706	-1.95996	-1.543	-0.76275	1.06698	0.612825	1.95996	1.83209	-1.10313	-0.512171	0.900034	0.585211	0.538691	0.516839	0.45633	0.349076	0.635595	0.326908	0.422059	0.57074	0.314555	0.367852	0.758696	0.593131	0.353921	0.343637	0.645659	0.623173	0.556393	0.605627	0.338814	0.312653	0.609572	0.512877	0.686639	0.632071	0.524914	0.50269	0.598686	0.502402	0.470078	0.516268	0.46684	0.426742	0.590212	0.567777	0.42373	0.178399	0.409018	0.73422	0.397289	0.42879	0.559647	0.445213	0.646732	0.479152	0.526542	0.576209	0.811707	0.414017	0.718942	0.60343	0.41956	0.711875	0.332977	0.479257	0.29875	0.562141	0.469208	0.550795	0.518459	0.411393	0.545732	0.577075	0.507588	0.314999	0.854213	0.647415	0.365359	0.439455	0.369404	0.58049	0.347735	0.391779	0.423854	0.524517	0.565838	0.671917	0.311371	0.306586	0.273938	0.35857	0.431706	0.492133	0.451307
g3	0.101855	0.379103	0.640612	0.254015	0.53683	0.976082	1.95996	-0.60124	-0.651184	-1.04441	-0.549739	-1.95996	-1.28203	-0.796987	-1.69134	0.505369	0.691984	0.42381	0.590021	0.499124	0.520656	0.390214	0.404243	0.476587	0.461137	0.600589	0.573355	0.573252	0.591217	0.650582	0.414069	0.496424	0.574358	0.302891	0.468353	0.458764	0.449597	0.57546	0.503288	0.339557	0.587827	0.445332	0.626107	0.723473	0.482193	0.53161	0.40456	0.537389	0.65127	0.631036	0.332607	0.638639	0.644185	0.550129	0.354924	0.615426	0.475446	0.548973	0.644643	0.514279	0.598796	0.492991	0.26291	0.424318	0.532376	0.470834	0.69338	0.470644	0.608045	0.287832	0.69424	0.351821	0.35308	0.617659	0.511866	0.38284	0.585123	0.697086	0.417995	0.220556	0.494254	0.658612	0.442561	0.567624	0.53635	0.507455	0.434565	0.276611	0.648508	0.641297	0.511895	0.534404	0.473597	0.474603	0.692162	0.503653	0.650645	0.373636	0.569292	0.411847
g4	-0.112674	0.711222	0.9432	0.81683	1.47245	1.76864	1.95996	0.698202	-1.62581	-1.95996	-1.35913	-1.48526	-1.25391	-1.1536	-1.68281	0.512133	0.424719	0.557249	0.549584	0.518279	0.396361	0.569954	0.452683	0.334888	0.490815	0.691372	0.633387	0.467008	0.730883	0.546851	0.456518	0.325325	0.591497	0.541628	0.486027	0.328313	0.583805	0.541692	0.355051	0.320412	0.514545	0.555834	0.247415	0.484314	0.456814	0.633718	0.52748	0.552988	0.551414	0.408481	0.261054	0.59393	0.428561	0.554845	0.71908	0.529268	0.469743	0.55464	0.436253	0.429628	0.643864	0.469991	0.347743	0.372978	0.753065	0.671768	0.601903	0.445747	0.647603	0.446805	0.489052	0.402059	0.365262	0.512433	0.524708	0.719952	0.624835	0.424464	0.395341	0.382711	0.431452	0.449916	0.591927	0.319213	0.427301	0.479997	0.565636	0.474048	0.458982	0.460899	0.435125	0.711564	0.591247	0.490218	0.613601	0.364139	0.49932	0.633739	0.481849	0.508036
g5	1.8884	1.76881	1.40345	1.95996	-0.639948	-0.76144	-1.95996	-1.66527	-0.244718	1.14714	0.657882	1.38272	1.34852	0.569407	0.697007	0.667865	0.419086	0.478353	0.660307	0.668702	0.217136	0.219278	0.567179	0.844401	0.568657	0.576177	0.663901	0.550822	0.455675	0.530668	0.677866	0.617716	0.391524	0.592197	0.375936	0.321841	0.517841	0.734152	0.504802	0.628924	0.67641	0.70344	0.50645	0.508088	0.625766	0.3802	0.523206	0.45232	0.418831	0.776712	0.40264	0.683973	0.565608	0.612058	0.593307	0.514585	0.34813	0.374664	0.507174	0.391128	0.513737	0.470812	0.421939	0.431271	0.436798	0.332923	0.515334	0.35671	0.491858	0.338332	0.476333	0.676558	0.309251	0.683358	0.366733	0.657251	0.369724	0.416227	0.551948	0.502594	0.454351	0.712232	0.466205	0.261607	0.12901	0.709954	0.329555	0.614761	0.59941	0.577234	0.518025	0.799329	0.494902	0.662376	0.611489	0.367182	0.360906	0.633379	0.568057	0.502353
g6	-1.95996	-1.15259	0.373789	-0.361511	0.372944	1.14657	1.95996	1.91841	1.32114	-0.43038	-0.299542	-0.337619	-0.0122518	0.295884	0.180222	0.635529	0.463521	0.823351	0.552331	0.385072	0.70919	0.256807	0.415568	0.338676	0.484347	0.535078	0.489167	0.435956	0.458376	0.403933	0.625151	0.552107	0.27156	0.419626	0.344913	0.408165	0.552166	0.571244	0.452421	0.414695	0.720227	0.688338	0.428456	0.603831	0.519565	0.760866	0.542408	0.47969	0.54916	0.381343	0.58066	0.75541	0.556802	0.812216	0.402727	0.399934	0.375988	0.5068	0.674082	0.638501	0.518721	0.526391	0.249802	0.342298	0.414097	0.685075	0.529676	0.646594	0.637802	0.776386	0.656202	0.420958	0.310541	0.408675	0.370224	0.43012	0.479579	0.518552	0.421979	0.367003	0.703233	0.570677	0.335281	0.257287	0.42625	0.595709	0.483877	0.492712	0.471028	0.567894	0.553582	0.505547	0.831277	0.561443	0.758736	0.497436	0.74681	0.29121	0.361718	0.343009
g7	-1.95996	-1.87484	-1.63861	-1.78043	-1.27021	0.53546	1.95996	0.557121	0.217089	0.198983	0.237032	-0.927104	-0.638098	-0.317468	-1.07914	0.749022	0.42083	0.710288	0.5247	0.57034	0.459565	0.573693	0.743616	0.426698	0.54282	0.624519	0.532365	0.465677	0.589689	0.487524	0.537906	0.558855	0.445091	0.385628	0.454006	0.564616	0.457461	0.472006	0.542133	0.511937	0.458102	0.383038	0.504399	0.384308	0.621733	0.544839	0.559902	0.50416	0.61892	0.410163	0.328722	0.454423	0.618124	0.538873	0.463583	0.67521	0.52786	0.386365	0.449107	0.658093	0.481839	0.630484	0.327916	0.577172	0.409232	0.402872	0.521708	0.559322	0.783288	0.461103	0.41064	0.502575	0.753381	0.446812	0.527692	0.700045	0.369582	0.492005	0.585074	0.539804	0.310818	0.587244	0.578432	0.563094	0.59233	0.508117	0.462277	0.456984	0.459605	0.582979	0.51103	0.656042	0.415608	0.480401	0.535967	0.673915	0.498058	0.616952	0.544264	0.411979
g8	-1.95996	-0.0722748	0.0608701	-0.201866	0.446178	1.12222	1.95996	1.54198	0.602421	0.205254	0.296756	0.281424	1.0434	1.57761	-0.96521	0.334834	0.636459	0.706905	0.476621	0.581926	0.364746	0.63795	0.437365	0.426353	0.826594	0.4499	0.563251	0.709259	0.634052	0.431016	0.390152	0.35716	0.703274	0.404209	0.408504	0.851675	0.83349	0.465524	0.597967	0.509184	0.468126	0.526712	0.464101	0.561093	0.386936	0.315738	0.735983	0.653853	0.323872	0.542749	0.278811	0.658115	0.615618	0.52707	0.458484	0.55985	0.66701	0.567935	0.455059	0.640148	0.392828	0.533363	0.401007	0.329008	0.338728	0.296547	0.55059	0.385567	0.419305	0.426948	0.728133	0.459214	0.392383	0.553581	0.39766	0.434725	0.378406	0.656067	0.383382	0.239129	0.400096	0.290806	0.460862	0.34463	0.679619	0.574882	0.505684	0.362643	0.621519	0.489427	0.746831	0.64084	0.572298	0.323573	0.456986	0.465311	0.468303	0.703793	0.733057	0.483958
g9	1.24259	0.843303	0.204017	0.550501	-0.148581	-0.300903	-1.95996	-1.78665	-0.123907	0.499269	0.290171	1.95996	1.37962	-0.679223	1.03887	0.428715	0.26928	0.441415	0.638021	0.518035	0.523208	0.385491	0.405873	0.639724	0.357732	0.461784	0.495655	0.687836	0.561788	0.485895	0.774749	0.48015	0.524767	0.42284	0.745027	0.244561	0.366635	0.505977	0.236455	0.421103	0.352369	0.586303	0.667722	0.684896	0.474972	0.718183	0.663158	0.474486	0.512902	0.642147	0.576809	0.443955	0.328038	0.553104	0.549719	0.520246	0.73034	0.329414	0.223636	0.695607	0.400973	0.355286	0.594429	0.386162	0.486091	0.532526	0.373639	0.421859	0.483335	0.623	0.455307	0.594987	0.546214	0.56223	0.255022	0.507224	0.503797	0.484711	0.58733	0.42471	0.510608	0.434682	0.395214	0.382576	0.375631	0.442653	0.533834	0.552069	0.663509	0.371162	0.422644	0.305475	0.371345	0.357515	0.452312	0.614034	0.530187	0.471036	0.458818	0.436832
