genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149
g0	-0.0636372	-0.842339	-1.16223	-1.72751	-1.95996	-1.70391	-1.25084	0.0702418	0.563252	1.05142	0.652327	0.721626	0.544814	0.841561	0.792493	1.43889	1.54882	1.43907	1.81074	1.95996	0.350493	0.182053	0.448664	0.568924	0.428747	0.423174	0.520189	0.413216	0.298416	0.419111	0.616031	0.411705	0.226333	0.334252	0.337125	0.699423	0.354023	0.430349	0.416776	0.568345	0.421092	0.433772	0.430141	0.728414	0.447966	0.544416	0.287327	0.505409	0.526872	0.538542	0.518919	0.471114	0.569541	0.540149	0.72074	0.696583	0.367455	0.649145	0.364393	0.416418	0.532132	0.341827	0.693021	0.543172	0.351066	0.664	0.570662	0.486833	0.634295	0.607546	0.39686	0.580818	0.354248	0.484928	0.309965	0.416523	0.366663	0.285391	0.446243	0.400696	0.282751	0.531761	0.426162	0.825177	0.550493	0.506932	0.455986	0.372817	0.605153	0.475973	0.41091	0.536804	0.433625	0.718175	0.480479	0.613556	0.526075	0.476548	0.545716	0.41151	0.658291	0.486758	0.329701	0.510048	0.478162	0.81861	0.616829	0.536093	0.261701	0.419912	0.520681	0.42394	0.605366	0.484323	0.529646	0.833132	0.395417	0.545192	0.461118	0.494487	0.542584	0.561907	0.319477	0.544475	0.61258	0.323797	0.512225	0.394983	0.578605	0.513074	0.550457	0.555682	0.41723	0.506234	0.38813	0.353118	0.677947	0.56488	0.617619	0.39555	0.420241	0.320307	0.691127	0.541519	0.531654	0.57612	0.588729	0.563309	0.41289	0.349391
g1	1.07402	0.91959	0.658292	0.00850286	-1.95996	-0.809462	-0.551259	-0.0645479	0.0585701	0.635901	0.424086	0.74075	0.725648	0.885812	0.790426	1.15276	1.76855	1.57802	1.70385	1.95996	0.429944	0.404527	0.608211	0.481384	0.544041	0.439946	0.526698	0.521292	0.618351	0.72717	0.576092	0.631888	0.548664	0.553556	0.330234	0.42406	0.537121	0.716729	0.154134	0.46285	0.43976	0.494181	0.374232	0.526182	0.531539	0.581432	0.606276	0.50088	0.521775	0.374568	0.458563	0.49875	0.368849	0.677155	0.291152	0.40059	0.550642	0.846687	0.170294	0.597789	0.549282	0.583332	0.249361	0.299754	0.48817	0.320646	0.506316	0.582259	0.596103	0.658402	0.331686	0.705255	0.413765	0.911732	0.610142	0.483806	0.655623	0.697304	0.366737	0.731508	0.687101	0.645012	0.558881	0.410839	0.458367	0.403239	0.611378	0.611634	0.553704	0.5513	0.48064	0.668494	0.348643	0.569391	0.350946	0.441516	0.220686	0.283618	0.536891	0.570708	0.450597	0.664091	0.445228	0.425475	0.351787	0.58307	0.559969	0.579248	0.284069	0.676248	0.67263	0.464878	0.565587	0.646333	0.285598	0.35548	0.600825	0.203176	0.543558	0.488906	0.493427	0.449628	0.385866	0.398214	0.573289	0.516062	0.473633	0.262943	0.43993	0.549311	0.65597	0.297786	0.464357	0.434493	0.409887	0.601978	0.366369	0.479088	0.404304	0.416955	0.549414	0.444093	0.604528	0.585513	0.444258	0.559704	0.783471	0.445645	0.625085	0.467961
g2	-0.516941	-0.726438	-1.41734	-1.70469	-1.95996	-1.60773	-1.35657	-1.29905	-0.849225	-0.804353	-1.19382	0.886177	0.396694	0.902788	0.507288	1.56288	1.95996	1.1717	1.32328	1.9057	0.212881	0.395217	0.593842	0.60483	0.657439	0.457376	0.473842	0.422654	0.388645	0.7159	0.520352	0.749367	0.519034	0.373374	0.307293	0.638554	0.342454	0.384404	0.437934	0.802062	0.507297	0.474187	0.286324	0.261241	0.360906	0.425651	0.745164	0.554096	0.457202	0.36391	0.437258	0.537637	0.465053	0.749377	0.353791	0.297715	0.559599	0.603029	0.503811	0.604531	0.519601	0.240592	0.41349	0.548736	0.50331	0.363809	0.483259	0.479756	0.540619	0.351517	0.400581	0.311872	0.396015	0.414159	0.431331	0.377655	0.375476	0.51657	0.413276	0.618371	0.317123	0.391426	0.598681	0.609714	0.375266	0.487279	0.669685	0.501003	0.489006	0.53428	0.361446	0.679975	0.432311	0.703118	0.662903	0.581841	0.582877	0.516179	0.436515	0.656482	0.56348	0.265659	0.611116	0.610435	0.680459	0.645029	0.414941	0.318329	0.624262	0.518972	0.420036	0.457903	0.61475	0.332815	0.276905	0.664174	0.474228	0.643838	0.428273	0.546262	0.481694	0.335299	0.48067	0.351187	0.556691	0.167406	0.464369	0.789278	0.729432	0.556723	0.427624	0.308469	0.629047	0.58843	0.394229	0.529517	0.405173	0.590114	0.747313	0.45063	0.448327	0.377253	0.53072	0.538917	0.577206	0.52531	0.730609	0.443896	0.427591	0.46679
g3	0.307057	0.836139	1.08329	1.80784	1.95996	1.77161	0.430472	-0.257372	-0.402514	-0.703363	-0.633911	-0.925654	-0.841288	-0.905064	0.18487	0.00974724	-1.27943	-1.09408	-1.48587	-1.95996	0.82397	0.599151	0.479007	0.659211	0.523945	0.379017	0.551084	0.437875	0.416643	0.550449	0.487797	0.532275	0.328929	0.535498	0.316687	0.474265	0.385079	0.504554	0.391709	0.557634	0.559307	0.496447	0.749794	0.545322	0.294044	0.333485	0.581921	0.493268	0.345595	0.291453	0.394008	0.636792	0.33644	0.585669	0.512423	0.38308	0.5584	0.477446	0.347945	0.374835	0.579221	0.590004	0.642188	0.412946	0.603563	0.42074	0.43065	0.495794	0.445084	0.466091	0.391447	0.473104	0.575341	0.467742	0.563441	0.441018	0.349441	0.40808	0.236681	0.713864	0.290435	0.495197	0.419195	0.533162	0.484656	0.417064	0.707464	0.379969	0.505109	0.429514	0.275814	0.67	0.610748	0.621175	0.38494	0.432738	0.482771	0.625433	0.433395	0.534575	0.018167	0.476496	0.352651	0.674816	0.474098	0.517809	0.34605	0.483156	0.621826	0.5028	0.496245	0.166137	0.357991	0.521686	0.596581	0.47595	0.59762	0.429473	0.433619	0.439315	0.598538	0.455245	0.497066	0.44716	0.34384	0.448345	0.611783	0.522888	0.444636	0.751122	0.337544	0.323574	0.356606	0.554524	0.636853	0.485062	0.600044	0.480178	0.455758	0.444633	0.409408	0.570297	0.497798	0.570849	0.377618	0.811957	0.71368	0.276307	0.477038	0.527613
g4	1.95996	1.42387	-1.26645	-1.85929	-1.95996	-1.89181	-1.04118	-0.76256	-0.632479	0.775866	0.626827	0.894788	-1.239	-0.33792	-0.549461	-0.192219	0.167788	-0.0412911	0.218288	0.671019	0.294835	0.378675	0.230124	0.5449	0.701654	0.479446	0.463585	0.461619	0.600811	0.847373	0.669785	0.536443	0.46926	0.38371	0.500151	0.400632	0.188279	0.612679	0.46003	0.49431	0.526467	0.396706	0.689368	0.512793	0.438798	0.553009	0.595716	0.827617	0.271288	0.346257	0.561918	0.405429	0.597407	0.250024	0.629007	0.450509	0.585888	0.469685	0.327162	0.371826	0.430609	0.4582	0.556681	0.417967	0.481848	0.675592	0.456017	0.513792	0.555174	0.634527	0.413941	0.621193	0.390852	0.391321	0.539877	0.39589	0.272299	0.489871	0.598769	0.385089	0.632184	0.575107	0.64288	0.35743	0.496152	0.289186	0.334228	0.388699	0.466445	0.261003	0.270906	0.394999	0.515002	0.439975	0.429443	0.487889	0.44811	0.522982	0.22244	0.487615	0.434868	0.386758	0.304267	0.66275	0.550511	0.423543	0.448429	0.603436	0.654613	0.188266	0.707474	0.614555	0.555025	0.541063	0.320442	0.416434	0.420204	0.320511	0.691521	0.53382	0.532937	0.302232	0.568252	0.718028	0.528171	0.575794	0.44767	0.454916	0.652522	0.320412	0.647769	0.541112	0.453855	0.397453	0.671427	0.712247	0.4443	0.616411	0.41725	0.410116	0.390523	0.809965	0.695601	0.756005	0.507927	0.45479	0.45512	0.431087	0.509992	0.213483
g5	-0.896282	0.31956	0.832448	1.07247	1.95996	1.23913	0.481778	-0.222214	-0.396434	-0.874935	-0.329071	-0.476144	1.08675	-1.27694	-0.444342	-0.728983	-1.95996	-0.654965	-0.681045	-1.13993	0.552254	0.341796	0.445556	0.633048	0.554172	0.400143	0.215941	0.37904	0.466823	0.428916	0.257446	0.279395	0.43605	0.355762	0.266102	0.266389	0.87707	0.215719	0.706906	0.529736	0.242567	0.53958	0.671438	0.398513	0.644598	0.597221	0.472877	0.461559	0.60952	0.512381	0.582445	0.564422	0.55386	0.443738	0.625282	0.313331	0.391547	0.500312	0.474476	0.609017	0.836798	0.50566	0.508325	0.480463	0.430226	0.443941	0.646728	0.579728	0.64448	0.240882	0.375506	0.72924	0.305021	0.376793	0.534281	0.32541	0.470763	0.49923	0.528777	0.395558	0.488856	0.329877	0.567714	0.545338	0.412717	0.40749	0.542287	0.516079	0.450767	0.481705	0.583343	0.60588	0.581825	0.600445	0.406071	0.533196	0.385196	0.238892	0.535887	0.602591	0.560032	0.44789	0.350752	0.257687	0.4287	0.565146	0.705834	0.589922	0.258228	0.328331	0.685859	0.47857	0.245185	0.518219	0.424245	0.493081	0.571453	0.67251	0.328991	0.464578	0.517134	0.30092	0.524018	0.665254	0.493706	0.578008	0.743052	0.603124	0.538318	0.533473	0.370052	0.567095	0.376485	0.623966	0.293756	0.377922	0.686314	0.551557	0.649257	0.511721	0.645146	0.705565	0.298733	0.765887	0.133121	0.508606	0.504403	0.502517	0.272621	0.454252
g6	-0.289601	-0.548453	-0.988938	-1.10889	-1.95996	-1.25159	-0.70528	-0.0893329	0.875168	1.76894	1.61627	1.63831	1.46936	1.95996	1.14417	1.37624	1.51411	1.13214	1.6816	1.71906	0.583939	0.551098	0.508413	0.384356	0.481916	0.42231	0.456343	0.610783	0.631304	0.715018	0.480037	0.426991	0.498632	0.328019	0.624596	0.40942	0.572903	0.458432	0.682046	0.626659	0.442306	0.589543	0.40952	0.296422	0.490981	0.64189	0.425577	0.42546	0.42591	0.335688	0.432936	0.52996	0.2832	0.653885	0.644892	0.434641	0.294814	0.591097	0.339072	0.603901	0.523616	0.501658	0.579924	0.56961	0.393876	0.662045	0.380729	0.371959	0.549652	0.49934	0.333399	0.546132	0.441761	0.414448	0.390616	0.421449	0.553574	0.643475	0.537273	0.450303	0.589772	0.600701	0.447776	0.561762	0.39236	0.473806	0.471595	0.617593	0.4586	0.359515	0.637246	0.601875	0.485881	0.477931	0.540129	0.47061	0.53041	0.754277	0.41086	0.51405	0.628062	0.516727	0.352694	0.431483	0.361399	0.652215	0.553817	0.348156	0.544531	0.481869	0.381522	0.281641	0.180875	0.463304	0.384613	0.341079	0.34453	0.577451	0.377008	0.50084	0.521523	0.474712	0.546877	0.38208	0.405347	0.397675	0.565434	0.601342	0.597976	0.357225	0.293153	0.55278	0.601323	0.431848	0.347151	0.589247	0.692589	0.605569	0.419268	0.474436	0.622099	0.612273	0.538725	0.516612	0.520764	0.398918	0.639981	0.549288	0.598163	0.784226
g7	-1.95996	-1.28627	-0.645821	0.212527	1.37829	1.1315	0.580697	0.272263	0.216037	-0.373826	1.95996	1.17475	1.64247	0.359893	1.15472	0.313434	0.215047	0.939009	0.136177	-0.559813	0.530814	0.587452	0.776481	0.688303	0.642066	0.299713	0.30641	0.337837	0.590809	0.457138	0.591944	0.491809	0.700979	0.318563	0.446256	0.562028	0.681736	0.562957	0.569958	0.477444	0.436702	0.558445	0.498713	0.25488	0.424099	0.595407	0.658409	0.358737	0.473476	0.625839	0.400996	0.558107	0.53492	0.504099	0.381132	0.493813	0.430819	0.481319	0.544444	0.223565	0.500078	0.428817	0.503231	0.568995	0.415938	0.376396	0.720709	0.438354	0.457433	0.503236	0.615205	0.733844	0.41431	0.544701	0.629181	0.393959	0.429461	0.625016	0.405842	0.448464	0.566917	0.402565	0.742116	0.210551	0.377813	0.384557	0.384788	0.713645	0.342678	0.450307	0.399978	0.55826	0.457787	0.304302	0.526366	0.55257	0.727979	0.410921	0.567258	0.491506	0.742643	0.57955	0.473862	0.578568	0.427991	0.611963	0.469729	0.554179	0.471666	0.358634	0.496643	0.449071	0.297354	0.52785	0.461727	0.397971	0.300255	0.494526	0.366084	0.604559	0.593153	0.584934	0.593844	0.434614	0.453754	0.443565	0.670138	0.545676	0.445781	0.426408	0.531592	0.499862	0.493379	0.472073	0.569915	0.484114	0.53994	0.555328	0.447375	0.460673	0.513062	0.346234	0.450345	0.576577	0.635881	0.586335	0.608663	0.51759	0.793407	0.653991
g8	-0.118012	-0.334426	-1.35829	-1.90325	-1.95996	-1.48758	0.503323	0.576454	1.22883	1.35004	0.585447	1.07175	0.124461	0.161695	0.0860629	0.905805	1.54111	1.08974	1.74309	1.95996	0.551359	0.426887	0.623555	0.52234	0.387422	0.506988	0.618821	0.604852	0.643616	0.600686	0.46946	0.56346	0.536221	0.516086	0.470854	0.632586	0.492214	0.358554	0.350799	0.169093	0.681509	0.322976	0.596869	0.480513	0.617229	0.375881	0.617304	0.525031	0.497174	0.378296	0.352009	0.510843	0.498718	0.246783	0.287952	0.579113	0.342472	0.792729	0.47397	0.507629	0.445624	0.513431	0.369757	0.528684	0.44625	0.503299	0.369316	0.532803	0.47501	0.512495	0.734817	0.526981	0.448759	0.533531	0.320987	0.267336	0.571221	0.722135	0.458148	0.242354	0.680194	0.63234	0.572814	0.214128	0.370377	0.341887	0.476697	0.470706	0.503311	0.692085	0.339609	0.398772	0.33627	0.660342	0.430709	0.500065	0.355678	0.353466	0.414109	0.698139	0.331111	0.416294	0.546077	0.554074	0.410513	0.357347	0.560605	0.594256	0.402311	0.543464	0.476549	0.527297	0.342636	0.539358	0.346875	0.501872	0.608782	0.561116	0.402393	0.220766	0.397747	0.359806	0.389568	0.49389	0.409721	0.460555	0.597909	0.255936	0.330273	0.496794	0.577801	0.403355	0.374977	0.553688	0.525784	0.421393	0.513101	0.646064	0.674877	0.519972	0.565852	0.537728	0.371876	0.499057	0.54323	0.561264	0.452747	0.617164	0.42941	0.596127
g9	1.06843	1.32638	1.61784	1.78509	1.95996	1.17662	0.743649	0.43377	-0.00645314	-0.62099	-0.422338	-0.536422	-0.0469977	-0.441992	-0.207275	-0.742695	-0.767221	-0.517656	-0.937029	-1.95996	0.336233	0.602471	0.47511	0.443276	0.752452	0.685649	0.396691	0.562143	0.239589	0.495222	0.433216	0.398404	0.452958	0.632688	0.480147	0.550499	0.366444	0.510715	0.456732	0.623254	0.488629	0.638201	0.475991	0.326221	0.581853	0.483158	0.453017	0.519318	0.659664	0.496629	0.606884	0.406235	0.54834	0.53278	0.444522	0.56306	0.355988	0.568978	0.286659	0.457584	0.381582	0.619873	0.612206	0.356191	0.505174	0.61387	0.694441	0.433848	0.599268	0.556493	0.716407	0.595157	0.638553	0.523397	0.322471	0.301615	0.320039	0.575498	0.410369	0.456258	0.416882	0.394368	0.532692	0.506029	0.462903	0.467246	0.54698	0.270842	0.374596	0.501655	0.500081	0.708829	0.386381	0.636401	0.601896	0.424055	0.311401	0.376491	0.642364	0.611021	0.485899	0.430006	0.451657	0.545687	0.593171	0.298304	0.513995	0.544009	0.458935	0.607247	0.509924	0.346045	0.193112	0.282268	0.23085	0.542397	0.767673	0.575119	0.589196	0.472229	0.669151	0.332077	0.349864	0.605498	0.470834	0.390785	0.419425	0.459549	0.398681	0.483791	0.732515	0.294981	0.392705	0.593324	0.61571	0.413453	0.483414	0.361891	0.52956	0.257336	0.520942	0.347428	0.501874	0.424682	0.592982	0.496409	0.551656	0.467494	0.595478	0.511442
