genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149	c150	c151	c152	c153	c154	c155	c156	c157	c158	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c176	c177	c178	c179	c180	c181	c182	c183	c184	c185	c186	c187	c188	c189	c190	c191	c192	c193	c194	c195	c196	c197	c198	c199
g0	1.08111	0.855236	0.671232	1.28125	1.37369	1.09095	1.95996	1.81482	1.69789	1.07988	0.786591	0.675855	0.658732	0.443229	-0.0707984	-0.593408	-0.512425	-1.2374	-1.00506	-1.04983	-1.95996	-1.59382	-1.5698	-1.85284	-1.89977	0.427791	0.30048	0.560501	0.409644	0.635429	0.669237	0.619338	0.672118	0.450055	0.525657	0.540476	0.265518	0.359286	0.626942	0.29609	0.328172	0.700442	0.487857	0.538451	0.449711	0.5594	0.347744	0.410551	0.311559	0.448885	0.534285	0.432351	0.378665	0.59809	0.261131	0.299732	0.38762	0.576002	0.459777	0.473935	0.496984	0.626858	0.468312	0.616734	0.538326	0.545665	0.465553	0.400942	0.798031	0.358051	0.423227	0.424897	0.363389	0.647769	0.452599	0.509755	0.763208	0.344116	0.559196	0.494031	0.540324	0.404562	0.546208	0.441794	0.578061	0.535973	0.329703	0.416283	0.485295	0.550695	0.532734	0.451148	0.585474	0.70818	0.521119	0.579205	0.655596	0.385271	0.46563	0.57022	0.409909	0.44928	0.617361	0.557445	0.514761	0.652492	0.485521	0.390776	0.670881	0.650162	0.572249	0.535676	0.613796	0.567007	0.657965	0.367979	0.467584	0.677357	0.722349	0.387926	0.809494	0.560622	0.549148	0.50913	0.590212	0.688379	0.360444	0.624424	0.506531	0.308887	0.609781	0.216004	0.643797	0.650413	0.422551	0.482166	0.568122	0.479539	0.473583	0.564817	0.426687	0.567944	0.505602	0.589633	0.644504	0.462704	0.58634	0.337124	0.588129	0.528994	0.375241	0.495554	0.824347	0.518216	0.525344	0.40182	0.72377	0.41009	0.446949	0.586746	0.531882	0.311698	0.409737	0.469464	0.403071	0.395463	0.659055	0.547069	0.57308	0.327728	0.711497	0.342019	0.386056	0.357913	0.58721	0.277524	0.52658	0.395316	0.506535	0.261689	0.461451	0.425181	0.581859	0.463639	0.460583	0.619691	0.504129	0.45145	0.550493	0.485846	0.39498	0.644765	0.481395	0.56923	0.542123	0.617064	0.416345	0.550467	0.534519	0.376626
g1	1.95996	1.56355	1.17984	1.21831	1.38768	0.585055	0.723293	0.564007	0.102012	-0.207742	-0.521445	-0.808737	-0.944667	-1.54031	-1.55664	-1.78453	-1.63687	-1.95996	-1.56099	-1.64631	-1.74491	-1.08559	-0.680065	-1.10592	-1.17713	0.389975	0.512165	0.531525	0.441859	0.579973	0.365574	0.499756	0.318451	0.529665	0.485637	0.410297	0.551276	0.542772	0.535377	0.129338	0.501944	0.68911	0.540129	0.682556	0.584076	0.545553	0.618288	0.454988	0.435816	0.433916	0.283318	0.542715	0.423201	0.54399	0.271802	0.576354	0.506906	0.562376	0.636128	0.660812	0.446795	0.442547	0.33023	0.549326	0.537273	0.62978	0.460821	0.483659	0.49352	0.474892	0.516224	0.496775	0.646279	0.452007	0.519788	0.421194	0.519231	0.541941	0.495693	0.482985	0.423472	0.77778	0.353625	0.39932	0.264262	0.413316	0.687138	0.402857	0.473494	0.450823	0.504716	0.568146	0.601451	0.505273	0.360174	0.473395	0.642031	0.453086	0.464155	0.523953	0.164333	0.36697	0.38626	0.630801	0.703508	0.542031	0.296372	0.329032	0.69443	0.174134	0.486718	0.337767	0.489671	0.499587	0.620869	0.581594	0.382756	0.459898	0.30999	0.462614	0.504064	0.392309	0.441298	0.461629	0.194366	0.626622	0.40699	0.423924	0.562735	0.465236	0.538733	0.511558	0.474719	0.688823	0.452428	0.577387	0.432757	0.393189	0.420795	0.474522	0.543365	0.754689	0.589691	0.47714	0.62799	0.36074	0.525011	0.42578	0.560817	0.627553	0.602303	0.585536	0.634071	0.562908	0.363726	0.35667	0.579343	0.259385	0.170632	0.601425	0.700308	0.511867	0.466573	0.13352	0.51676	0.39082	0.501941	0.557246	0.482877	0.198752	0.33223	0.424332	0.413161	0.599954	0.534301	0.336631	0.735436	0.396917	0.407813	0.656087	0.503656	0.532701	0.514619	0.469416	0.345587	0.711541	0.689029	0.325181	0.288948	0.617793	0.309563	0.481398	0.422819	0.601323	0.361719	0.519118	0.483398	0.418508	0.485972	0.495805
g2	-1.95996	-1.00109	-0.488188	-0.891352	-1.05811	-0.604207	-1.63895	-1.24168	-1.1887	-0.961895	0.343799	0.590208	0.98106	1.31537	1.35308	1.56033	1.34368	1.56248	0.923744	1.05742	1.95996	1.42124	1.19424	1.50899	1.78726	0.450028	0.608564	0.512065	0.609053	0.246864	0.527374	0.612263	0.550224	0.524067	0.46061	0.332537	0.397031	0.575169	0.324458	0.265304	0.587678	0.674519	0.378418	0.524269	0.528835	0.363747	0.529546	0.456236	0.562112	0.390763	0.558013	0.570417	0.438965	0.314944	0.394433	0.511455	0.57266	0.526314	0.645635	0.528984	0.592109	0.504879	0.433038	0.523686	0.516588	0.558273	0.49752	0.644822	0.374176	0.502427	0.443124	0.650119	0.498808	0.64018	0.500896	0.421171	0.594706	0.5468	0.619704	0.50767	0.535202	0.590902	0.616514	0.429935	0.326743	0.369521	0.798316	0.182496	0.279348	0.414163	0.48136	0.400773	0.668236	0.477172	0.637024	0.51024	0.319457	0.544592	0.541666	0.478591	0.455111	0.364341	0.729823	0.430739	0.411797	0.41976	0.43178	0.457247	0.318423	0.372788	0.571379	0.442718	0.476273	0.805017	0.487952	0.788162	0.581066	0.446952	0.398648	0.536374	0.498405	0.426896	0.491834	0.258205	0.383628	0.428351	0.481215	0.644859	0.337317	0.676881	0.432985	0.550898	0.49528	0.319598	0.389093	0.55739	0.429398	0.498252	0.340606	0.61374	0.504892	0.431313	0.615103	0.173719	0.272269	0.425171	0.484477	0.508531	0.48774	0.603763	0.350918	0.344507	0.47725	0.535945	0.734644	0.226403	0.699812	0.407031	0.35332	0.435822	0.375297	0.398938	0.497123	0.609367	0.522769	0.442269	0.349087	0.794576	0.503038	0.439139	0.459355	0.635898	0.410074	0.408895	0.578313	0.432576	0.351124	0.43758	0.630771	0.363621	0.525109	0.553782	0.684556	0.503084	0.403512	0.386371	0.263042	0.492741	0.400379	0.547409	0.57511	0.426798	0.620971	0.298061	0.49586	0.517918	0.470631	0.401031	0.401295	0.437059
g3	1.82991	1.69982	1.49233	1.62582	1.95996	1.44102	1.45951	1.02139	0.740497	0.553162	0.431971	0.267926	-0.0451144	-0.322212	-1.11962	-1.36748	-1.30314	-1.40874	-1.30706	-1.70319	-1.78538	-1.59593	-1.00098	-1.05482	-1.95996	0.40059	0.448235	0.335096	0.398241	0.519442	0.566282	0.514021	0.507636	0.381309	0.582223	0.75128	0.534623	0.387647	0.22984	0.435434	0.329789	0.71282	0.553998	0.511936	0.546921	0.413927	0.557887	0.370613	0.540166	0.622782	0.349308	0.630126	0.633671	0.409644	0.416695	0.351622	0.321196	0.443661	0.522076	0.630335	0.598981	0.609956	0.256545	0.539818	0.593057	0.505051	0.57286	0.619658	0.51201	0.576663	0.651608	0.607408	0.580003	0.621912	0.418508	0.404176	0.504735	0.590196	0.551718	0.434801	0.535267	0.458982	0.401222	0.452689	0.527702	0.649483	0.356537	0.411311	0.481459	0.359482	0.649522	0.381831	0.510107	0.376664	0.487333	0.411147	0.632785	0.62874	0.489744	0.430517	0.495798	0.451006	0.462649	0.332527	0.475944	0.562989	0.587488	0.531023	0.491426	0.418775	0.574474	0.553014	0.436993	0.303663	0.279034	0.654595	0.497848	0.544774	0.501669	0.439115	0.529901	0.558169	0.431298	0.626719	0.501326	0.615862	0.522914	0.398731	0.353954	0.499139	0.36731	0.525298	0.460005	0.382692	0.626258	0.400181	0.518017	0.45533	0.490267	0.417982	0.335857	0.534729	0.395796	0.609853	0.271713	0.418227	0.400037	0.51066	0.601028	0.456199	0.653948	0.710975	0.378053	0.356025	0.469366	0.388284	0.421721	0.775806	0.474921	0.45469	0.546348	0.526354	0.511842	0.547312	0.327113	0.403206	0.378828	0.684617	0.484364	0.677843	0.412623	0.528159	0.46294	0.645274	0.473208	0.591383	0.615312	0.406449	0.441956	0.489164	0.480232	0.605548	0.501693	0.575452	0.364646	0.566054	0.502582	0.605994	0.440573	0.572354	0.433419	0.445987	0.590437	0.477296	0.444071	0.504318	0.374157	0.52304	0.646776	0.71791
g4	-1.95996	-1.36023	-1.25514	-1.41552	-1.56594	-1.15333	-1.20361	-0.715051	-0.705456	-0.280141	0.38821	0.610274	0.841666	1.42581	1.58987	1.95996	1.87227	1.94808	1.30309	1.48962	1.55877	1.18124	0.823967	0.840438	0.962052	0.257268	0.643516	0.264016	0.426129	0.571717	0.388494	0.373398	0.645509	0.639368	0.409211	0.489842	0.584806	0.55923	0.405047	0.515458	0.649291	0.315933	0.31758	0.544564	0.524549	0.357898	0.611294	0.535703	0.632877	0.632977	0.417548	0.512133	0.663267	0.413469	0.403092	0.686043	0.509127	0.426335	0.392565	0.374564	0.564543	0.511891	0.410716	0.589575	0.427846	0.481402	0.425985	0.415247	0.176231	0.459051	0.435453	0.482647	0.514463	0.437005	0.623136	0.404713	0.444626	0.452261	0.598369	0.443317	0.39311	0.174133	0.549426	0.558642	0.42287	0.78356	0.464978	0.40528	0.457718	0.312794	0.427874	0.66337	0.525238	0.629552	0.655065	0.76131	0.465322	0.672779	0.558801	0.383382	0.623689	0.749566	0.581768	0.685449	0.439611	0.457863	0.459271	0.580419	0.489391	0.514093	0.235574	0.295713	0.41915	0.343479	0.663441	0.395692	0.716467	0.313958	0.70492	0.36481	0.265985	0.472403	0.404272	0.298227	0.626993	0.40162	0.713249	0.663191	0.39019	0.493072	0.444265	0.470808	0.426322	0.421905	0.240869	0.498241	0.286721	0.412414	0.501222	0.487909	0.561938	0.616114	0.667345	0.12558	0.554907	0.54947	0.591762	0.467173	0.399108	0.441339	0.623862	0.681036	0.393153	0.457232	0.358074	0.552014	0.294813	0.656379	0.539806	0.26478	0.406895	0.417913	0.61122	0.665476	0.508695	0.479071	0.579556	0.578239	0.566718	0.382403	0.699045	0.396051	0.660528	0.48747	0.344132	0.633833	0.408308	0.548087	0.514903	0.524939	0.50997	0.443225	0.506627	0.549399	0.362478	0.484763	0.269533	0.396935	0.395703	0.36133	0.6326	0.234003	0.494546	0.414629	0.288236	0.227921	0.374267	0.380357	0.451093	0.395811
g5	-0.671365	-0.505896	-0.309924	-1.07571	-1.58555	-1.47739	-1.80232	-1.72667	-1.30857	-1.014	-0.997218	-0.650973	-0.490625	0.314319	1.73038	1.95996	0.740057	0.948779	0.773403	1.60725	1.70738	-0.202395	-1.95996	-1.70013	-0.687293	0.619083	0.375232	0.490502	0.1977	0.368115	0.328359	0.466159	0.462241	0.50008	0.511754	0.240684	0.572057	0.492484	0.487981	0.563932	0.401009	0.261687	0.480217	0.358257	0.28718	0.553569	0.333828	0.579558	0.455498	0.427278	0.218885	0.683529	0.45964	0.2876	0.485853	0.421205	0.40676	0.623889	0.698507	0.401489	0.453241	0.518288	0.441298	0.580049	0.515948	0.596143	0.395117	0.54626	0.489791	0.454752	0.342219	0.652395	0.388402	0.701587	0.624553	0.673758	0.399332	0.315634	0.585974	0.394223	0.413427	0.659449	0.367997	0.288492	0.281301	0.703027	0.443089	0.501306	0.603742	0.508443	0.501886	0.683808	0.575637	0.413526	0.310334	0.527059	0.666431	0.313129	0.513716	0.556328	0.450702	0.459974	0.526652	0.333927	0.492627	0.472444	0.474869	0.317563	0.472882	0.417688	0.373318	0.503361	0.563874	0.532763	0.510347	0.352628	0.59739	0.66747	0.347153	0.36754	0.55326	0.533871	0.496585	0.26847	0.431486	0.477037	0.683333	0.481814	0.532914	0.395936	0.552135	0.577402	0.341344	0.388251	0.688228	0.384307	0.552053	0.481512	0.333694	0.477839	0.547815	0.486627	0.328282	0.549306	0.146228	0.361236	0.397725	0.319566	0.411436	0.327162	0.535562	0.37422	0.409817	0.639526	0.582297	0.222606	0.721382	0.403345	0.422475	0.616379	0.585872	0.357464	0.330243	0.696365	0.620487	0.397855	0.464607	0.530005	0.463035	0.273287	0.619501	0.458542	0.48592	0.449976	0.39814	0.569975	0.593004	0.688447	0.547093	0.412694	0.594404	0.65707	0.482806	0.510521	0.594059	0.265118	0.571409	0.669836	0.450273	0.338981	0.326788	0.579645	0.448415	0.389411	0.50513	0.539879	0.479251	0.374605	0.483994	0.439634
g6	1.90883	1.72792	1.12499	1.22197	1.56786	1.40677	1.95996	1.57337	1.22547	0.660531	-0.141751	-0.213882	-0.300306	-0.411146	-0.895208	-1.49971	-1.46917	-1.81759	-1.29729	-1.61725	-1.95996	-1.58617	-1.27759	-1.40725	-1.50536	0.513588	0.543447	0.288416	0.334707	0.413344	0.701321	0.386563	0.51601	0.541983	0.730925	0.392236	0.660088	0.534638	0.480269	0.621067	0.504112	0.5776	0.323518	0.368566	0.353752	0.382168	0.577898	0.511864	0.526179	0.54327	0.441282	0.507225	0.519284	0.341032	0.414643	0.283734	0.34626	0.438723	0.393219	0.623503	0.479194	0.512143	0.493665	0.480873	0.785069	0.491528	0.47853	0.526716	0.485354	0.642278	0.521957	0.560324	0.514344	0.47765	0.163149	0.328817	0.77991	0.47578	0.482327	0.525059	0.4823	0.490721	0.33907	0.382756	0.576266	0.656492	0.544248	0.349718	0.500871	0.219469	0.54605	0.443482	0.399817	0.467867	0.354547	0.518144	0.508271	0.544152	0.654458	0.727646	0.478762	0.373913	0.518518	0.532306	0.405608	0.479018	0.39898	0.563534	0.54162	0.342227	0.591433	0.460341	0.309993	0.334338	0.59159	0.420352	0.545795	0.6732	0.70141	0.761289	0.592285	0.450266	0.521437	0.523525	0.395349	0.492532	0.636848	0.500866	0.53033	0.217564	0.234559	0.456744	0.47185	0.384112	0.691533	0.465182	0.402696	0.539303	0.38342	0.392299	0.601723	0.352913	0.531222	0.436466	0.591352	0.354407	0.34635	0.375042	0.387183	0.493705	0.425102	0.536713	0.391895	0.588457	0.383424	0.670075	0.36207	0.71895	0.489369	0.445322	0.493381	0.571407	0.552403	0.519683	0.41843	0.461262	0.577318	0.552629	0.378739	0.535638	0.551083	0.594811	0.444491	0.563872	0.448734	0.45538	0.241857	0.380883	0.447202	0.26555	0.472096	0.537967	0.504178	0.475043	0.556299	0.470601	0.301086	0.277941	0.326701	0.493364	0.541509	0.610569	0.412691	0.50332	0.287547	0.454017	0.27802	0.263042	0.389486	0.687458
g7	1.95996	1.82379	0.830641	1.32956	1.37797	1.16317	1.39644	1.38146	1.12271	0.930027	0.543344	0.420349	0.152922	-1.28222	-1.60724	-1.68048	-1.60706	-1.92386	-1.54199	-1.73462	-1.95996	-1.19777	-0.380125	-0.64962	-0.770683	0.369418	0.542615	0.476094	0.406252	0.650933	0.416411	0.661815	0.615793	0.150611	0.658924	0.617039	0.471695	0.526366	0.282948	0.529934	0.395609	0.767783	0.453856	0.577305	0.553669	0.464477	0.566242	0.530229	0.751494	0.587183	0.585575	0.547229	0.418216	0.455023	0.20489	0.507998	0.342491	0.415943	0.679457	0.619366	0.458446	0.500608	0.455582	0.519607	0.305495	0.583385	0.60587	0.461516	0.286262	0.530011	0.456496	0.308537	0.392285	0.362896	0.415846	0.248371	0.453387	0.444692	0.626703	0.624524	0.502046	0.533489	0.367822	0.328284	0.532215	0.416086	0.46511	0.433289	0.573223	0.420835	0.47835	0.528663	0.321998	0.580486	0.309782	0.431929	0.483728	0.288902	0.234256	0.580159	0.584555	0.374202	0.460608	0.425822	0.490274	0.599724	0.642774	0.381893	0.311448	0.338373	0.36613	0.421334	0.617514	0.512812	0.5633	0.478449	0.525564	0.348399	0.471132	0.397539	0.49995	0.495819	0.503158	0.31333	0.395623	0.545583	0.594281	0.469948	0.38943	0.473051	0.523507	0.63599	0.50003	0.295492	0.570259	0.597573	0.413855	0.504323	0.66647	0.534308	0.269153	0.525979	0.441967	0.49058	0.512965	0.419791	0.493096	0.456044	0.503496	0.640559	0.446168	0.40664	0.477479	0.390429	0.676569	0.535322	0.610052	0.474662	0.433434	0.446657	0.546627	0.473769	0.628468	0.509663	0.592263	0.498862	0.420721	0.456001	0.485195	0.436014	0.491243	0.489359	0.668788	0.660016	0.285721	0.500776	0.420834	0.341004	0.392243	0.485706	0.563567	0.510282	0.67221	0.599023	0.543507	0.403289	0.62851	0.498324	0.597707	0.329657	0.495459	0.428638	0.398748	0.414275	0.377647	0.394191	0.331645	0.611488	0.561938	0.488052
g8	-1.05827	-0.798815	-0.707832	-0.996589	-1.15082	-1.13324	-1.95996	-1.37465	-1.27684	-0.866402	-0.63309	-0.29152	-0.115802	0.402766	1.14874	1.21641	1.12138	1.18191	1.07332	1.40698	1.93935	1.90094	1.43848	1.85743	1.95996	0.811624	0.442666	0.58701	0.334901	0.475236	0.52283	0.506439	0.597036	0.397434	0.33049	0.514054	0.501483	0.414403	0.543232	0.719455	0.566034	0.50398	0.465428	0.381745	0.578352	0.406012	0.711516	0.753902	0.424905	0.55329	0.405758	0.439702	0.757722	0.395651	0.475548	0.35716	0.366557	0.6261	0.431322	0.361622	0.401877	0.503241	0.345911	0.211522	0.619368	0.313106	0.414362	0.503907	0.343291	0.335407	0.521267	0.585754	0.751297	0.281702	0.67712	0.269888	0.606017	0.442023	0.207967	0.458166	0.507535	0.580552	0.540147	0.602461	0.382541	0.39519	0.645657	0.685962	0.254979	0.315395	0.48007	0.418331	0.336059	0.534003	0.163969	0.443938	0.508908	0.595444	0.623166	0.545338	0.423013	0.470013	0.313068	0.395294	0.313924	0.322415	0.507694	0.428363	0.43429	0.436467	0.406749	0.526837	0.634224	0.472789	0.613406	0.360508	0.547932	0.490284	0.670545	0.65527	0.423409	0.571001	0.409641	0.329922	0.662679	0.569379	0.498347	0.613951	0.300244	0.497012	0.644344	0.449797	0.46128	0.298703	0.252002	0.660043	0.229888	0.685701	0.433526	0.415573	0.445217	0.561615	0.597674	0.426737	0.603359	0.567031	0.643122	0.392601	0.41357	0.55875	0.481981	0.560649	0.465072	0.433013	0.726494	0.417991	0.45736	0.361747	0.736944	0.309323	0.71004	0.583479	0.368022	0.400315	0.545172	0.487107	0.334362	0.633826	0.41916	0.375247	0.506228	0.439784	0.399673	0.485269	0.733218	0.645111	0.369093	0.628175	0.36849	0.517829	0.557146	0.606996	0.56185	0.470434	0.480578	0.483807	0.483168	0.30702	0.596458	0.362949	0.475474	0.764855	0.390808	0.589309	0.45808	0.55056	0.487169	0.36786	0.18988	0.480586
g9	-1.95996	-1.33858	-1.09148	-1.19889	-1.41736	-1.14884	-1.2819	-0.687687	-0.540407	-0.403538	-0.156891	-0.0318292	0.0790813	0.184701	0.245026	0.325915	0.224628	0.555556	0.208315	0.396138	1.29054	1.01466	0.9487	1.44382	1.95996	0.385925	0.578071	0.463552	0.299369	0.570296	0.575256	0.705019	0.606012	0.505104	0.466542	0.375149	0.493627	0.592655	0.482846	0.502262	0.409344	0.623704	0.444627	0.672174	0.442463	0.377102	0.417018	0.526347	0.532563	0.70525	0.520616	0.507598	0.38945	0.735702	0.568296	0.411626	0.510929	0.154715	0.330242	0.583691	0.500894	0.690508	0.594864	0.524072	0.673572	0.343458	0.542112	0.473151	0.443348	0.410912	0.422789	0.556459	0.394805	0.545367	0.533594	0.577786	0.322297	0.56282	0.472414	0.623801	0.366173	0.386786	0.568254	0.344664	0.250328	0.363087	0.340296	0.420113	0.666654	0.404663	0.441826	0.332585	0.734858	0.448678	0.457994	0.353096	0.549497	0.644337	0.402561	0.590315	0.691948	0.508958	0.642506	0.659644	0.552245	0.388704	0.553575	0.496989	0.470051	0.500489	0.644474	0.410025	0.432864	0.545352	0.452082	0.522766	0.429963	0.480895	0.711413	0.507299	0.422369	0.428209	0.477688	0.516796	0.597521	0.381186	0.351888	0.539948	0.651121	0.378803	0.622574	0.404746	0.470548	0.510067	0.373072	0.603173	0.394908	0.377338	0.567029	0.436977	0.495375	0.545356	0.593021	0.29296	0.268364	0.400706	0.348093	0.520823	0.439965	0.695511	0.415877	0.447654	0.6707	0.603048	0.344726	0.308028	0.535019	0.59093	0.15839	0.470502	0.511359	0.600304	0.551524	0.516852	0.47857	0.580183	0.686404	0.523463	0.358457	0.413801	0.735216	0.389512	0.502842	0.535075	0.441057	0.541402	0.680534	0.500019	0.827411	0.606093	0.715803	0.392969	0.518599	0.477715	0.475612	0.728967	0.454552	0.592497	0.553445	0.563042	0.476194	0.3583	0.634966	0.77099	0.476186	0.476229	0.603377	0.553527	0.569421	0.490003
