genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99
g0	-0.487343	-0.177216	-0.575951	-0.443039	-0.132912	-0.22152	-0.664559	-0.265823	-0.0886078	-0.398735	-0.620255	-0.310127	-0.354431	-0.531647	-0.0443039	0.68766	0.652324	0.546558	0.685614	0.48192	0.368167	0.694688	0.288055	0.474919	0.338725	0.621005	0.541749	0.543152	0.594792	0.266313	0.701128	0.525708	0.470754	0.540062	0.775685	0.552006	0.546442	0.499832	0.50993	0.550409	0.529357	0.56385	0.614036	0.851646	0.497422	0.440296	0.606073	0.477913	0.268531	0.581782	0.421906	0.41732	0.629338	0.424703	0.254509	0.667657	0.371393	0.517812	0.607137	0.405043	0.514449	0.335618	0.653529	0.420599	0.519594	0.670711	0.144542	0.587736	0.431071	0.440411	0.335006	0.640289	0.743072	0.716715	0.693179	0.412483	0.490808	0.278331	0.599589	0.39226	0.62454	0.481656	0.594968	0.676609	0.563832	0.539001	0.70347	0.574104	0.629026	0.544512	0.617581	0.548546	0.47097	0.333335	0.594154	0.497086	0.379142	0.501191	0.461162	0.318938
g1	-0.956199	-0.347709	-1.13005	-0.869271	-0.260781	-0.434636	-1.30391	-0.521563	-0.173854	-0.782344	-1.21698	-0.60849	-0.695417	-1.04313	-0.0869271	0.545811	0.598253	0.629169	0.471895	0.796948	0.530146	0.545394	0.426386	0.695124	0.603985	0.453902	0.538427	0.498279	0.396655	0.190835	0.608484	0.426265	0.390318	0.431786	0.595035	0.447038	0.629121	0.615934	0.50606	0.379543	0.553783	0.477294	0.764226	0.498613	0.474241	0.589071	0.646407	0.313611	0.340259	0.417184	0.546735	0.628068	0.4999	0.923718	0.558175	0.542899	0.690803	0.64197	0.565501	0.435005	0.443208	0.659553	0.769661	0.314263	0.701335	0.393262	0.429221	0.332408	0.471942	0.38393	0.483177	0.285703	0.473569	0.551287	0.463152	0.31159	0.461399	0.541106	0.622864	0.549761	0.530062	0.548482	0.587998	0.581973	0.506849	0.784321	0.617537	0.569139	0.462398	0.457651	0.579142	0.744196	0.39586	0.454811	0.65429	0.373956	0.641933	0.406254	0.491622	0.521637
g2	0.678478	0.246719	0.801837	0.616798	0.185039	0.308399	0.925197	0.370079	0.12336	0.555118	0.863517	0.431759	0.493438	0.740158	0.0616798	0.711501	0.545324	0.443704	0.795999	0.850644	0.480329	0.58754	0.550238	0.51449	0.533516	0.336949	0.742711	0.395734	0.197938	0.556129	0.359819	0.505962	0.49967	0.409793	0.375708	0.655484	0.700801	0.441491	0.646539	0.47268	0.726802	0.720365	0.394667	0.392164	0.495842	0.387469	0.558332	0.645643	0.38827	0.583103	0.465516	0.46579	0.648835	0.285128	0.504459	0.607537	0.503799	0.767428	0.469809	0.447079	0.50468	0.721642	0.331073	0.633352	0.469345	0.455165	0.54338	0.437077	0.643063	0.535291	0.67501	0.429962	0.425965	0.498526	0.47916	0.614018	0.514769	0.595759	0.673139	0.627116	0.666878	0.433728	0.371144	0.518748	0.359141	0.646551	0.518817	0.485898	0.450558	0.692731	0.598057	0.43164	0.448662	0.437433	0.463997	0.48507	0.465981	0.667708	0.534824	0.434835
g3	-0.124258	-0.0451847	-0.14685	-0.112962	-0.0338885	-0.0564809	-0.169443	-0.0677771	-0.0225924	-0.101666	-0.158147	-0.0790733	-0.0903694	-0.135554	-0.0112962	0.445551	0.373928	0.630849	0.52997	0.484267	0.591371	0.569152	0.61749	0.576801	0.452681	0.537964	0.342165	0.42065	0.452046	0.587871	0.541468	0.473028	0.578182	0.591272	0.297382	0.626352	0.683748	0.314146	0.534966	0.0700951	0.592177	0.537713	0.588504	0.422638	0.526166	0.602803	0.548542	0.530677	0.491059	0.330807	0.569634	0.454311	0.369005	0.552401	0.4374	0.264116	0.686138	0.661953	0.471558	0.597967	0.747102	0.613115	0.366771	0.268909	0.416256	0.583061	0.548136	0.550663	0.658309	0.232966	0.528743	0.545024	0.533136	0.619272	0.656228	0.590807	0.612845	0.906316	0.626142	0.313177	0.417973	0.362164	0.476454	0.543129	0.470851	0.554596	0.574852	0.528626	0.552955	0.339551	0.723096	0.407772	0.488233	0.588092	0.437066	0.448584	0.486588	0.501818	0.536562	0.484945
g4	0.545965	0.198533	0.645231	0.496331	0.148899	0.248166	0.744497	0.297799	0.0992663	0.446698	0.694864	0.347432	0.397065	0.595598	0.0496331	0.583116	0.448349	0.602732	0.488362	0.516334	0.487615	0.465684	0.611888	0.466153	0.524572	0.615068	0.484496	0.634296	0.514369	0.427755	0.736904	0.443701	0.710955	0.622324	0.722247	0.672761	0.578096	0.392012	0.569759	0.621153	0.299862	0.671905	0.755248	0.56038	0.696428	0.578147	0.622111	0.422599	0.419924	0.490929	0.578841	0.382646	0.649868	0.386028	0.703735	0.437636	0.266141	0.427097	0.567707	0.592929	0.541551	0.320057	0.524587	0.603106	0.715658	0.347252	0.510442	0.612817	0.395094	0.539856	0.533571	0.813381	0.468876	0.607271	0.645052	0.402792	0.472248	0.664806	0.568671	0.440724	0.509028	0.54215	0.551608	0.513438	0.630762	0.504097	0.429955	0.653596	0.626771	0.505889	0.489313	0.509199	0.623541	0.572767	0.575711	0.367918	0.449246	0.521585	0.550141	0.572541
g5	-1.24246	-0.451803	-1.46836	-1.12951	-0.338852	-0.564753	-1.69426	-0.677704	-0.225901	-1.01656	-1.58131	-0.790654	-0.903605	-1.35541	-0.112951	0.759076	0.497699	0.500169	0.341624	0.528231	0.697497	0.442606	0.415185	0.636757	0.43385	0.591397	0.441604	0.445806	0.586264	0.536946	0.557092	0.436577	0.599632	0.48397	0.555294	0.205218	0.531047	0.439607	0.547892	0.582128	0.405687	0.787383	0.652117	0.641562	0.588391	0.556715	0.644859	0.436116	0.470428	0.519415	0.750494	0.659202	0.363272	0.528611	0.492431	0.185256	0.648448	0.463741	0.448567	0.674932	0.49085	0.630498	0.466434	0.60192	0.548641	0.563648	0.510592	0.340033	0.435877	0.5615	0.452005	0.465127	0.448013	0.708942	0.687785	0.180689	0.382183	0.509343	0.434186	0.449888	0.562721	0.434811	0.544175	0.553983	0.71756	0.254696	0.448286	0.394565	0.486607	0.43044	0.702657	0.453912	0.539716	0.617809	0.52414	0.430716	0.486002	0.646842	0.380985	0.521269
g6	-0.45193	-0.164338	-0.534099	-0.410845	-0.123254	-0.205423	-0.616268	-0.246507	-0.082169	-0.369761	-0.575183	-0.287592	-0.328676	-0.493014	-0.0410845	0.58011	0.527617	0.484484	0.522431	0.609042	0.485485	0.479262	0.491201	0.600336	0.701496	0.41069	0.453614	0.327565	0.64308	0.524805	0.441654	0.42596	0.497407	0.579927	0.438724	0.548764	0.547219	0.384128	0.664291	0.330498	0.398352	0.432933	0.516012	0.340071	0.551787	0.576337	0.454915	0.627304	0.370695	0.546086	0.468599	0.363977	0.541813	0.420757	0.478447	0.347144	0.451931	0.350434	0.636037	0.310765	0.563936	0.643031	0.512459	0.478578	0.709556	0.713926	0.682076	0.562886	0.52706	0.277295	0.72792	0.573851	0.625899	0.584823	0.639147	0.463	0.493605	0.203483	0.492026	0.635063	0.542983	0.388067	0.581169	0.56854	0.520549	0.721266	0.472991	0.540931	0.516249	0.370975	0.48136	0.419249	0.429406	0.697321	0.536562	0.495639	0.526611	0.319851	0.513039	0.595258
g7	0.5089	0.185054	0.601427	0.462636	0.138791	0.231318	0.693954	0.277582	0.0925272	0.416373	0.647691	0.323845	0.370109	0.555163	0.0462636	0.612596	0.600102	0.571457	0.759025	0.416968	0.486695	0.324192	0.486156	0.308519	0.384435	0.564963	0.505006	0.533252	0.582274	0.72023	0.540946	0.75138	0.694568	0.6407	0.2972	0.618859	0.46447	0.581274	0.807233	0.440074	0.439038	0.426903	0.359283	0.370641	0.532953	0.639024	0.584815	0.500284	0.599662	0.733894	0.579625	0.426085	0.558361	0.589413	0.508129	0.670375	0.648995	0.616938	0.618461	0.62759	0.515834	0.359983	0.461468	0.60795	0.649952	0.265469	0.544421	0.486357	0.472507	0.520959	0.377656	0.679122	0.583796	0.706785	0.528506	0.460931	0.511819	0.267064	0.547858	0.728257	0.622469	0.502781	0.458033	0.615587	0.529379	0.467649	0.496809	0.516385	0.47476	0.399728	0.506643	0.413514	0.323464	0.577419	0.626677	0.540852	0.58945	0.633454	0.59544	0.286056
g8	1.16927	0.425188	1.38186	1.06297	0.318891	0.531485	1.59446	0.637782	0.212594	0.956673	1.48816	0.744079	0.850376	1.27556	0.106297	0.442412	0.437214	0.593929	0.380471	0.789621	0.701674	0.558964	0.490512	0.631722	0.606102	0.472239	0.520265	0.434349	0.384267	0.475529	0.416177	0.430601	0.348119	0.709138	0.611592	0.538259	0.511014	0.553562	0.633334	0.572916	0.624939	0.470102	0.536327	0.520301	0.400825	0.482939	0.402873	0.59136	0.615317	0.609294	0.602513	0.675953	0.469562	0.277188	0.477302	0.511488	0.365191	0.513598	0.550568	0.536808	0.399233	0.755155	0.303424	0.457134	0.675083	0.484543	0.297145	0.519371	0.420126	0.754791	0.623316	0.532962	0.866818	0.523952	0.727405	0.364567	0.677561	0.450689	0.547717	0.580269	0.47381	0.670852	0.684006	0.624495	0.742288	0.479543	0.328482	0.578874	0.55237	0.642288	0.425147	0.46937	0.501992	0.378027	0.535787	0.530356	0.530977	0.521259	0.528966	0.698883
g9	-1.18702	-0.431645	-1.40285	-1.07911	-0.323734	-0.539557	-1.61867	-0.647468	-0.215823	-0.971202	-1.51076	-0.755379	-0.863291	-1.29494	-0.107911	0.49849	0.754459	0.642759	0.535429	0.787584	0.421814	0.641506	0.256564	0.580872	0.423706	0.60701	0.365702	0.322899	0.450934	0.538452	0.458471	0.731262	0.734686	0.361103	0.713476	0.417824	0.33577	0.438826	0.443872	0.571691	0.329305	0.543113	0.3669	0.478017	0.421294	0.450985	0.351069	0.532272	0.529563	0.412272	0.497235	0.528139	0.606335	0.666721	0.654698	0.660792	0.481472	0.341922	0.690403	0.237289	0.397426	0.619538	0.12599	0.52597	0.513274	0.503434	0.646823	0.398599	0.627021	0.441655	0.607698	0.588619	0.434103	0.639523	0.353706	0.49719	0.502675	0.429597	0.702902	0.463536	0.567107	0.434319	0.771155	0.492917	0.417122	0.762018	0.500177	0.607862	0.494882	0.356613	0.351128	0.588898	0.494052	0.585522	0.54448	0.526211	0.582903	0.58997	0.431208	0.481815
g10	0.855404	0.311056	1.01093	0.77764	0.233292	0.38882	1.16646	0.466584	0.155528	0.699876	1.0887	0.544348	0.622112	0.933168	0.077764	0.281037	0.619417	0.395716	0.589821	0.464958	0.595378	0.289404	0.600097	0.504939	0.171616	0.687125	0.808497	0.570294	0.375379	0.776497	0.687237	0.449737	0.459016	0.55874	0.497195	0.344026	0.615739	0.449548	0.387354	0.244868	0.435985	0.522345	0.608663	0.642981	0.518497	0.439589	0.639394	0.614743	0.496239	0.457801	0.529769	0.507241	0.422754	0.082507	0.382273	0.416778	0.482646	0.329297	0.677391	0.529269	0.562221	0.833254	0.776279	0.374233	0.338377	0.287658	0.443756	0.288097	0.450898	0.522867	0.547966	0.592434	0.425565	0.763263	0.538349	0.568445	0.560147	0.463543	0.41795	0.570309	0.740864	0.491922	0.705857	0.476128	0.473535	0.45651	0.493201	0.388552	0.437522	0.566263	0.350835	0.645319	0.630939	0.503025	0.492439	0.512013	0.608086	0.50476	0.489393	0.519274
g11	0.145499	0.0529088	0.171954	0.132272	0.0396816	0.066136	0.198408	0.0793632	0.0264544	0.119045	0.185181	0.0925905	0.105818	0.158726	0.0132272	0.337209	0.680163	0.611705	0.674654	0.57682	0.358029	0.387193	0.621837	0.559771	0.600551	0.46826	0.515876	0.575286	0.721113	0.380411	0.613768	0.68978	0.492785	0.450706	0.42327	0.691329	0.534025	0.518625	0.606573	0.605812	0.549363	0.283326	0.457733	0.683255	0.560018	0.448021	0.416128	0.707574	0.421489	0.768499	0.434354	0.600338	0.326096	0.662905	0.574437	0.561524	0.745191	0.356402	0.525806	0.44877	0.639135	0.549263	0.441107	0.703536	0.53551	0.618244	0.557322	0.534157	0.571728	0.406428	0.392094	0.26918	0.815478	0.473569	0.481197	0.73837	0.510958	0.659711	0.391766	0.343092	0.542509	0.257438	0.623853	0.68225	0.594487	0.458508	0.40534	0.413728	0.33587	0.514812	0.576498	0.75903	0.622843	0.535688	0.445537	0.580612	0.471746	0.392512	0.36015	0.304761
g12	-0.856752	-0.311546	-1.01252	-0.778865	-0.23366	-0.389433	-1.1683	-0.467319	-0.155773	-0.700979	-1.09041	-0.545206	-0.623092	-0.934638	-0.0778865	0.512704	0.538506	0.276046	0.655746	0.501163	0.759808	0.378522	0.653338	0.605379	0.446962	0.510743	0.532929	0.400017	0.788317	0.381418	0.456505	0.368301	0.515625	0.457045	0.354506	0.573429	0.85516	0.230453	0.592237	0.473408	0.443915	0.738609	0.469227	0.834639	0.504036	0.525903	0.664374	0.46353	0.349274	0.546257	0.470592	0.585987	0.421617	0.537184	0.490245	0.491194	0.479073	0.478437	0.548749	0.581958	0.682551	0.290102	0.441352	0.518121	0.740881	0.298505	0.394156	0.391891	0.519754	0.575186	0.596779	0.410808	0.624693	0.474086	0.64076	0.757175	0.689133	0.537421	0.566306	0.521976	0.660118	0.57221	0.676922	0.250529	0.494441	0.627894	0.373005	0.589154	0.484449	0.723814	0.723035	0.302862	0.473779	0.299519	0.589771	0.456603	0.542697	0.709306	0.55077	0.549533
g13	1.12156	0.407841	1.32548	1.0196	0.305881	0.509801	1.5294	0.611762	0.203921	0.917643	1.42744	0.713722	0.815682	1.22352	0.10196	0.658907	0.711268	0.68821	0.483313	0.718667	0.403343	0.340262	0.49693	0.530383	0.440539	0.305646	0.48946	0.864612	0.660151	0.371437	0.454842	0.382075	0.517083	0.266464	0.723351	0.585845	0.609814	0.312383	0.604998	0.450695	0.594011	0.476291	0.600436	0.593115	0.601619	0.513848	0.323756	0.535716	0.480322	0.413326	0.575676	0.692895	0.555132	0.382093	0.287149	0.811589	0.666696	0.281832	0.470066	0.626513	0.347397	0.709211	0.509183	0.55164	0.657575	0.567066	0.530698	0.589673	0.519169	0.453126	0.575757	0.611325	0.451254	0.53552	0.541126	0.53328	0.53749	0.393649	0.510298	0.480853	0.537092	0.524851	0.70773	0.434052	0.570344	0.602314	0.425718	0.661026	0.427737	0.657803	0.569637	0.563589	0.648626	0.470291	0.349471	0.557301	0.454133	0.411326	0.40857	0.543946
g14	0.0126113	0.00458594	0.0149043	0.0114648	0.00343945	0.00573242	0.0171973	0.00687891	0.00229297	0.0103184	0.0160508	0.00802539	0.00917187	0.0137578	0.00114648	0.621521	0.505348	0.695472	0.626482	0.521926	0.444316	0.539365	0.668268	0.434727	0.495184	0.396711	0.454179	0.529578	0.462042	0.400941	0.561458	0.451803	0.334032	0.433382	0.450405	0.450523	0.579623	0.556638	0.579937	0.584591	0.5805	0.514885	0.40376	0.540551	0.606623	0.257373	0.576962	0.246058	0.50536	0.493445	0.672618	0.539848	0.420877	0.546402	0.353767	0.511977	0.676085	0.649246	0.422274	0.384507	0.468243	0.505345	0.717031	0.585022	0.599451	0.573909	0.545316	0.678423	0.572308	0.619256	0.534428	0.473093	0.471188	0.362123	0.446031	0.45628	0.678115	0.552977	0.49418	0.452522	0.712752	0.253399	0.68255	0.517526	0.646021	0.503953	0.385125	0.597252	0.579982	0.511502	0.621253	0.565002	0.459358	0.485081	0.468184	0.448802	0.423642	0.489103	0.512546	0.534702
g15	0.64889	0.688843	0.48145	0.492706	0.464252	0.370478	0.400769	0.577594	0.386167	0.486937	0.620552	0.321655	0.613036	0.48491	0.469015	0.998926	0.624329	1.74812	1.49839	0.87406	0.749195	1.24866	1.62325	1.37352	0.374597	0.124866	1.87299	1.12379	0.499463	0.249732	0.426623	0.737981	0.699347	0.575244	0.477363	0.405806	0.428451	0.642602	0.66767	0.659813	0.535407	0.680749	0.573952	0.740236	0.322844	0.403556	0.693023	0.387387	0.569855	0.656148	0.642134	0.575433	0.487248	0.569595	0.503382	0.413119	0.568352	0.531756	0.513554	0.69316	0.757152	0.560387	0.282972	0.552746	0.631849	0.755324	0.557007	0.602975	0.35327	0.468346	0.461106	0.367972	0.619934	0.563667	0.627469	0.5043	0.587717	0.677294	0.387919	0.652024	0.423636	0.559972	0.543648	0.494022	0.280551	0.35168	0.391671	0.445967	0.485934	0.561153	0.563865	0.578856	0.523894	0.512316	0.174894	0.67048	0.617409	0.572392	0.502686	0.536286
