genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149
g0	-0.45087	-0.541043	-0.991913	-1.26243	-1.44278	-1.08209	-0.180348	-0.270522	-1.80348	-1.62313	-0.721391	-0.0901739	-0.901739	-1.53296	-1.17226	-1.35261	-0.811565	-0.360696	-0.631217	-1.7133	0.537913	0.579899	0.433366	0.664117	0.252946	0.52974	0.707373	0.538214	0.309132	0.586983	0.543688	0.708569	0.577664	0.639793	0.455633	0.747698	0.791638	0.400856	0.576548	0.552501	0.132031	0.56104	0.611008	0.526822	0.568528	0.579676	0.396179	0.574106	0.683415	0.589731	0.501097	0.520109	0.738779	0.632057	0.534676	0.655843	0.558875	0.184109	0.430217	0.384313	0.40579	0.395782	0.602434	0.604874	0.453231	0.494905	0.582279	0.554835	0.493904	0.404734	0.769917	0.519731	0.49181	0.560269	0.45145	0.61833	0.691594	0.651457	0.533249	0.379883	0.370672	0.26628	0.512188	0.52117	0.248907	0.350912	0.53657	0.584641	0.576226	0.276265	0.553657	0.282272	0.436897	0.541914	0.530657	0.564712	0.233099	0.598726	0.574221	0.593758	0.49227	0.593727	0.661834	0.56231	0.373698	0.574404	0.506987	0.7669	0.414802	0.460856	0.506342	0.461885	0.51504	0.648632	0.425663	0.449937	0.298745	0.26008	0.538821	0.511064	0.685237	0.586403	0.605154	0.40057	0.586888	0.415916	0.68767	0.368302	0.286466	0.596781	0.480362	0.336155	0.680416	0.481497	0.568964	0.363118	0.503387	0.698699	0.528924	0.592396	0.544462	0.397902	0.341792	0.547699	0.54835	0.351525	0.405939	0.353878	0.544089	0.62424
g1	0.438405	0.526086	0.96449	1.22753	1.40289	1.05217	0.175362	0.263043	1.75362	1.57826	0.701447	0.0876809	0.876809	1.49058	1.13985	1.31521	0.789128	0.350724	0.613766	1.66594	0.397679	0.642621	0.425354	0.598106	0.414552	0.494362	0.588933	0.454236	0.584319	0.452407	0.675094	0.436988	0.551058	0.446587	0.796167	0.530348	0.540802	0.633835	0.678292	0.674509	0.557769	0.555268	0.67036	0.385358	0.540463	0.574629	0.814138	0.396786	0.614157	0.406706	0.541368	0.593368	0.41145	0.480369	0.402752	0.582094	0.574783	0.528159	0.503407	0.352594	0.569045	0.587811	0.271291	0.338366	0.329484	0.506447	0.344185	0.678139	0.645976	0.568051	0.471829	0.417757	0.300416	0.703526	0.671918	0.645518	0.310895	0.359484	0.469749	0.580526	0.556586	0.426698	0.550199	0.691562	0.49076	0.568566	0.468595	0.434141	0.389693	0.737646	0.61845	0.414301	0.425367	0.474503	0.570638	0.674803	0.424747	0.662505	0.520078	0.415206	0.679504	0.537937	0.636326	0.575695	0.47901	0.678271	0.463048	0.548181	0.519877	0.65526	0.248288	0.501603	0.5411	0.479024	0.4152	0.599053	0.516314	0.450794	0.769175	0.516203	0.544515	0.560772	0.504507	0.452742	0.503522	0.643422	0.546088	0.549633	0.711061	0.453639	0.486007	0.610477	0.505591	0.257033	0.593061	0.497447	0.378507	0.435894	0.568398	0.396454	0.422756	0.511032	0.408383	0.4869	0.46332	0.545726	0.564599	0.471989	0.795322	0.443655
g2	-0.0227966	-0.0273559	-0.0501525	-0.0638305	-0.0729491	-0.0547119	-0.00911864	-0.013678	-0.0911864	-0.0820678	-0.0364746	-0.00455932	-0.0455932	-0.0775085	-0.0592712	-0.0683898	-0.0410339	-0.0182373	-0.0319153	-0.0866271	0.577898	0.534901	0.566864	0.407412	0.560843	0.553675	0.458142	0.511568	0.118787	0.510648	0.486174	0.250164	0.687162	0.445828	0.295959	0.596227	0.37677	0.469444	0.754826	0.426439	0.440204	0.597468	0.419866	0.622535	0.471411	0.528449	0.26897	0.472519	0.6629	0.572118	0.30018	0.435428	0.514947	0.489868	0.645485	0.421373	0.465277	0.401062	0.651753	0.535165	0.584433	0.264567	0.469563	0.48276	0.544153	0.381283	0.391897	0.548855	0.285504	0.538727	0.354621	0.644886	0.488582	0.589377	0.685411	0.537021	0.617714	0.452677	0.36745	0.132769	0.477414	0.557789	0.47314	0.643321	0.483496	0.468486	0.322927	0.633527	0.347549	0.429407	0.447268	0.532441	0.485423	0.748536	0.333451	0.405345	0.476195	0.561822	0.753594	0.394246	0.508608	0.330836	0.637297	0.473516	0.324107	0.40297	0.607703	0.338994	0.437637	0.547542	0.359024	0.631415	0.49499	0.418716	0.56961	0.17409	0.781282	0.525805	0.215053	0.679727	0.655404	0.422883	0.731666	0.369582	0.334916	0.71819	0.400747	0.508115	0.416194	0.392919	0.368258	0.654162	0.533459	0.558678	0.174392	0.57307	0.442195	0.398229	0.587085	0.582929	0.451522	0.177507	0.647269	0.575084	0.538991	0.611031	0.404173	0.359821	0.38275	0.399182
g3	0.120789	0.144947	0.265736	0.33821	0.386525	0.289894	0.0483156	0.0724735	0.483156	0.434841	0.193263	0.0241578	0.241578	0.410683	0.314052	0.362367	0.21742	0.0966313	0.169105	0.458999	0.52229	0.530897	0.494911	0.703692	0.234638	0.602341	0.578107	0.272737	0.718506	0.487871	0.383996	0.415036	0.535668	0.475988	0.44731	0.50756	0.48344	0.595098	0.505207	0.445401	0.498335	0.465955	0.581922	0.660408	0.601223	0.432348	0.777599	0.463322	0.508578	0.399442	0.622817	0.513566	0.495169	0.298763	0.317413	0.312644	0.468377	0.536241	0.550097	0.481801	0.745212	0.445097	0.518212	0.525661	0.480382	0.544799	0.746841	0.692315	0.512498	0.670546	0.405767	0.375224	0.949857	0.488143	0.660233	0.613392	0.672683	0.565425	0.590953	0.53176	0.256442	0.425267	0.384016	0.796073	0.405808	0.406668	0.455061	0.441239	0.53651	0.446374	0.241799	0.585569	0.442227	0.466784	0.541717	0.447595	0.339887	0.374615	0.427536	0.277702	0.546396	0.209218	0.676301	0.69877	0.564773	0.678315	0.463318	0.487462	0.435549	0.582319	0.601704	0.695802	0.584455	0.532571	0.51984	0.576928	0.31747	0.5139	0.335304	0.630589	0.46694	0.485485	0.508759	0.525203	0.422132	0.469045	0.428099	0.421164	0.366236	0.504619	0.620612	0.691814	0.583801	0.390062	0.484606	0.647437	0.739825	0.538574	0.579229	0.31175	0.347008	0.51583	0.422843	0.443813	0.520676	0.514422	0.599112	0.519902	0.430108	0.470221
g4	-0.150014	-0.180017	-0.330031	-0.420039	-0.480045	-0.360034	-0.0600056	-0.0900084	-0.600056	-0.54005	-0.240022	-0.0300028	-0.300028	-0.510048	-0.390036	-0.450042	-0.270025	-0.120011	-0.21002	-0.570053	0.682767	0.642519	0.49218	0.622785	0.583402	0.613218	0.499554	0.51977	0.632552	0.595633	0.552459	0.532544	0.541459	0.492598	0.516114	0.642627	0.551518	0.483492	0.529901	0.397886	0.328371	0.655991	0.45071	0.458352	0.649033	0.334261	0.623973	0.47368	0.468923	0.722523	0.237846	0.368958	0.495637	0.437007	0.864923	0.57075	0.714348	0.614441	0.494815	0.532126	0.573217	0.319361	0.502882	0.473596	0.492069	0.594794	0.203534	0.492966	0.344282	0.727038	0.708148	0.595439	0.68048	0.397355	0.628823	0.533206	0.423069	0.551099	0.518029	0.642635	0.368066	0.702337	0.304708	0.590029	0.555819	0.788346	0.594385	0.495042	0.4791	0.455793	0.647746	0.518149	0.45212	0.249958	0.484154	0.66691	0.330868	0.489972	0.490743	0.652983	0.529411	0.543782	0.46978	0.417355	0.543888	0.566744	0.45998	0.262295	0.418048	0.62204	0.477309	0.594523	0.624328	0.776548	0.603166	0.503563	0.375563	0.351339	0.46708	0.62008	0.685901	0.496699	0.442179	0.440098	0.341922	0.420091	0.56485	0.383506	0.427493	0.667866	0.413124	0.619512	0.614385	0.659713	0.421724	0.323804	0.835183	0.445328	0.560466	0.449076	0.548574	0.390906	0.488149	0.505494	0.588796	0.536711	0.422238	0.466576	0.699635	0.445219
g5	-0.321638	-0.385966	-0.707603	-0.900586	-1.02924	-0.771931	-0.128655	-0.192983	-1.28655	-1.1579	-0.514621	-0.0643276	-0.643276	-1.09357	-0.836259	-0.964914	-0.578948	-0.25731	-0.450293	-1.22222	0.388408	0.653263	0.485168	0.627228	0.48746	0.346927	0.457594	0.546236	0.594027	0.517145	0.626	0.345877	0.790724	0.576084	0.51906	0.442876	0.624266	0.490001	0.381121	0.483386	0.626808	0.62454	0.526809	0.421902	0.589191	0.649468	0.56679	0.535581	0.439606	0.669468	0.557638	0.359156	0.391642	0.395024	0.533833	0.287883	0.464641	0.555687	0.538069	0.477198	0.473093	0.358142	0.403621	0.490179	0.429579	0.6032	0.807042	0.425807	0.604296	0.428831	0.516518	0.654953	0.625993	0.683912	0.636574	0.471528	0.557275	0.363192	0.481713	0.380877	0.464651	0.691988	0.529528	0.404046	0.401564	0.400707	0.602157	0.423592	0.549407	0.480625	0.470869	0.449164	0.469884	0.641536	0.5273	0.478892	0.447564	0.458303	0.522086	0.692572	0.632033	0.457736	0.724533	0.517705	0.627418	0.584214	0.563726	0.485366	0.708822	0.511646	0.648669	0.372332	0.465682	0.396208	0.562257	0.423464	0.412103	0.514552	0.653136	0.585073	0.543517	0.398678	0.891864	0.54888	0.540502	0.399413	0.3987	0.539075	0.440834	0.499781	0.290849	0.431765	0.628964	0.634175	0.532268	0.594752	0.62636	0.682164	0.587712	0.642255	0.643061	0.535777	0.550401	0.588425	0.684328	0.660981	0.574006	0.622499	0.502475	0.570584
g6	-0.475116	-0.570139	-1.04526	-1.33033	-1.52037	-1.14028	-0.190046	-0.28507	-1.90046	-1.71042	-0.760186	-0.0950232	-0.950232	-1.6154	-1.2353	-1.42535	-0.855209	-0.380093	-0.665163	-1.80544	0.704127	0.625557	0.449773	0.601476	0.53115	0.457175	0.346593	0.564569	0.678054	0.537934	0.482716	0.111301	0.508627	0.543482	0.468403	0.599646	0.546891	0.699783	0.374788	0.538982	0.446864	0.296419	0.443768	0.6709	0.281506	0.61837	0.41161	0.372665	0.647669	0.331636	0.644938	0.50773	0.432476	0.436771	0.472472	0.56734	0.36845	0.247954	0.369892	0.450806	0.405911	0.525067	0.384125	0.634175	0.594205	0.365435	0.610335	0.433393	0.465642	0.27143	0.633659	0.469971	0.569013	0.472297	0.424829	0.527951	0.503311	0.472345	0.46923	0.769541	0.460498	0.489906	0.465814	0.407335	0.4482	0.449139	0.631669	0.644474	0.749151	0.52219	0.402271	0.453046	0.461714	0.473719	0.346727	0.511774	0.474767	0.480703	0.55808	0.304996	0.408971	0.440311	0.537561	0.64356	0.392835	0.672993	0.467185	0.49615	0.626385	0.704985	0.612335	0.351385	0.461499	0.49453	0.506235	0.499763	0.39387	0.50652	0.675235	0.732769	0.421542	0.509634	0.36258	0.338548	0.52216	0.506073	0.644608	0.404485	0.475368	0.25721	0.559034	0.495851	0.542681	0.706204	0.323799	0.518538	0.521533	0.439909	0.615502	0.478525	0.537057	0.292395	0.468026	0.330672	0.469799	0.575708	0.635446	0.177354	0.553129	0.357666
g7	-0.325857	-0.391028	-0.716884	-0.912398	-1.04274	-0.782056	-0.130343	-0.195514	-1.30343	-1.17308	-0.52137	-0.0651713	-0.651713	-1.10791	-0.847227	-0.97757	-0.586542	-0.260685	-0.456199	-1.23825	0.665149	0.66501	0.474966	0.420599	0.51869	0.604744	0.54211	0.44279	0.527138	0.598003	0.206893	0.360576	0.508802	0.647914	0.421634	0.592448	0.417682	0.703891	0.554743	0.637877	0.478371	0.659501	0.552315	0.686728	0.470119	0.602237	0.411481	0.37498	0.518363	0.559761	0.416844	0.518375	0.438795	0.698699	0.783654	0.657781	0.439298	0.346456	0.433323	0.40778	0.457106	0.890055	0.540143	0.53055	0.464168	0.500885	0.521158	0.515931	0.201553	0.617029	0.661313	0.640389	0.556246	0.673611	0.356024	0.496804	0.661694	0.71252	0.460098	0.701356	0.355933	0.479423	0.452818	0.49918	0.644593	0.570264	0.432104	0.325749	0.482304	0.713536	0.66029	0.724886	0.476477	0.384626	0.548021	0.745458	0.530812	0.592056	0.479221	0.536964	0.488842	0.513462	0.489464	0.478845	0.715929	0.820019	0.587873	0.492987	0.765842	0.570761	0.517381	0.429477	0.477309	0.675326	0.519151	0.436938	0.703873	0.271896	0.529126	0.558213	0.700301	0.537483	0.278696	0.684935	0.6856	0.444954	0.517042	0.387195	0.486565	0.548406	0.519727	0.475387	0.558179	0.604421	0.535281	0.425354	0.495048	0.719207	0.468364	0.399694	0.520433	0.316248	0.293512	0.625566	0.395562	0.544255	0.486258	0.374196	0.682791	0.336663
g8	0.228095	0.273714	0.501809	0.638666	0.729904	0.547428	0.091238	0.136857	0.91238	0.821142	0.364952	0.045619	0.45619	0.775523	0.593047	0.684285	0.410571	0.182476	0.319333	0.866761	0.287545	0.661353	0.628309	0.640121	0.621128	0.477846	0.501368	0.519908	0.368757	0.415013	0.487178	0.305579	0.452402	0.625583	0.480919	0.631759	0.567337	0.671637	0.446406	0.520496	0.434333	0.466773	0.50726	0.623739	0.419612	0.524122	0.5128	0.56103	0.453674	0.667144	0.350707	0.367897	0.5038	0.471359	0.444	0.599642	0.565829	0.640204	0.451217	0.559574	0.586812	0.61704	0.430181	0.427136	0.46812	0.281006	0.482554	0.397866	0.376179	0.428065	0.32174	0.400333	0.588589	0.570588	0.370689	0.5506	0.437325	0.615856	0.598377	0.514094	0.348425	0.319929	0.532951	0.749697	0.702503	0.667556	0.543075	0.642062	0.373114	0.639238	0.571119	0.495182	0.402274	0.47946	0.518601	0.467669	0.50845	0.303656	0.521716	0.679667	0.607262	0.403185	0.420618	0.485794	0.515763	0.605783	0.276366	0.667725	0.450567	0.760502	0.532751	0.38876	0.516492	0.311394	0.760697	0.545325	0.633614	0.51251	0.406396	0.467907	0.3097	0.215141	0.419612	0.529551	0.121693	0.507941	0.591533	0.534883	0.481598	0.423913	0.603783	0.341411	0.483585	0.436791	0.680406	0.51037	0.53078	0.418148	0.40805	0.526025	0.672537	0.435793	0.679822	0.372927	0.571429	0.551391	0.542908	0.412293	0.390428	0.406089
g9	0.353395	0.424074	0.77747	0.989507	1.13086	0.848149	0.141358	0.212037	1.41358	1.27222	0.565432	0.070679	0.70679	1.20154	0.918828	1.06019	0.636111	0.282716	0.494753	1.3429	0.491901	0.484442	0.574732	0.463572	0.557665	0.39467	0.348721	0.307572	0.62147	0.58841	0.501536	0.327247	0.510838	0.395693	0.440818	0.541918	0.618086	0.438582	0.26991	0.450463	0.571432	0.630977	0.402317	0.492267	0.563001	0.644604	0.688284	0.427751	0.684301	0.537336	0.339591	0.615262	0.428632	0.337264	0.522929	0.585555	0.458942	0.39762	0.386479	0.508441	0.590856	0.456934	0.511943	0.621644	0.420741	0.682537	0.652767	0.615024	0.501293	0.374709	0.623813	0.464956	0.526861	0.233027	0.54118	0.525748	0.523476	0.427202	0.309681	0.482646	0.682921	0.421132	0.393144	0.376564	0.466913	0.562768	0.634704	0.562704	0.434234	0.38861	0.679404	0.636485	0.29993	0.489244	0.692531	0.644987	0.525578	0.602551	0.502725	0.636552	0.519698	0.611721	0.532314	0.37463	0.570332	0.488629	0.685585	0.598285	0.504592	0.582878	0.715942	0.377459	0.486497	0.699536	0.581624	0.409316	0.6038	0.46356	0.44394	0.606693	0.473567	0.466378	0.708892	0.470109	0.382024	0.429688	0.488376	0.553927	0.420948	0.394667	0.68488	0.442717	0.54477	0.378587	0.581298	0.423782	0.287861	0.515391	0.671569	0.450167	0.453715	0.491617	0.412171	0.582558	0.648683	0.561111	0.384019	0.480659	0.514504	0.621538
