genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149	c150	c151	c152	c153	c154	c155	c156	c157	c158	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c176	c177	c178	c179	c180	c181	c182	c183	c184	c185	c186	c187	c188	c189	c190	c191	c192	c193	c194	c195	c196	c197	c198	c199
g0	0.843402	0.0648771	1.16779	0.324385	0.129754	0.259508	0.973157	1.23266	1.4273	0.908279	1.10291	0.45414	0.648771	0.583894	0.713648	0.778525	1.62193	1.03803	1.49217	0.519017	0.194631	0.389263	1.29754	1.36242	1.55705	0.569532	0.401375	0.57393	0.262001	0.415732	0.380263	0.454683	0.465391	0.552624	0.484923	0.413049	0.307423	0.521602	0.482876	0.500962	0.466561	0.35708	0.345527	0.595273	0.354581	0.430491	0.29784	0.46933	0.333857	0.333045	0.599118	0.560705	0.552994	0.651118	0.519858	0.548392	0.492398	0.299208	0.441077	0.547114	0.584104	0.366399	0.512188	0.414036	0.354481	0.439124	0.567052	0.482608	0.439733	0.479557	0.378518	0.57725	0.420916	0.47184	0.521341	0.417931	0.725261	0.339193	0.603556	0.444203	0.477143	0.53941	0.332868	0.356201	0.416348	0.39674	0.495494	0.391749	0.574631	0.326311	0.58451	0.514529	0.497985	0.313754	0.552468	0.525804	0.465951	0.469334	0.456981	0.611755	0.613397	0.44609	0.478063	0.449009	0.535356	0.387991	0.654023	0.368724	0.394131	0.541351	0.550757	0.375195	0.241261	0.31461	0.659115	0.494505	0.428169	0.645337	0.366418	0.44581	0.497336	0.526736	0.368091	0.719342	0.41335	0.59166	0.518987	0.385326	0.43946	0.730443	0.67754	0.518179	0.520212	0.255249	0.613357	0.659888	0.33992	0.361351	0.608104	0.269907	0.468146	0.613562	0.484815	0.509172	0.525515	0.428917	0.479942	0.633719	0.44716	0.486538	0.520003	0.393061	0.516272	0.382816	0.385585	0.474317	0.6665	0.590252	0.644322	0.287535	0.303689	0.47224	0.365718	0.471315	0.606122	0.453384	0.427995	0.679891	0.336058	0.54015	0.541407	0.578429	0.553072	0.273881	0.385538	0.383155	0.495755	0.636398	0.503827	0.449314	0.517678	0.58021	0.628043	0.38222	0.469084	0.489089	0.469176	0.556384	0.54803	0.423464	0.587377	0.272168	0.514642	0.44218	0.494232	0.652685	0.603137	0.455508	0.561967	0.554446
g1	0.935497	0.0719613	1.2953	0.359807	0.143923	0.287845	1.07942	1.36727	1.58315	1.00746	1.22334	0.503729	0.719613	0.647652	0.791575	0.863536	1.79903	1.15138	1.65511	0.575691	0.215884	0.431768	1.43923	1.51119	1.72707	0.430058	0.481885	0.499871	0.441963	0.399801	0.422725	0.611232	0.501156	0.484566	0.334663	0.392849	0.463572	0.461809	0.4006	0.441711	0.561064	0.447738	0.478021	0.598087	0.43925	0.573183	0.605356	0.39324	0.512227	0.429013	0.462021	0.677735	0.423099	0.482268	0.459099	0.721518	0.49945	0.545051	0.37014	0.573929	0.399681	0.314761	0.58471	0.558431	0.596423	0.700392	0.446227	0.458035	0.620743	0.569644	0.295522	0.429173	0.517272	0.53385	0.696774	0.443218	0.557883	0.50056	0.40254	0.661889	0.764849	0.453163	0.267247	0.516367	0.662283	0.495113	0.483782	0.476932	0.504804	0.401962	0.510111	0.463541	0.476429	0.329286	0.419643	0.524289	0.416957	0.236391	0.802899	0.761611	0.56217	0.586641	0.613142	0.679015	0.486869	0.487497	0.391686	0.381582	0.558159	0.444418	0.405613	0.598345	0.537489	0.514147	0.357829	0.665165	0.441769	0.271618	0.395723	0.450338	0.572765	0.766269	0.512021	0.558895	0.336063	0.473185	0.461632	0.330443	0.55967	0.368537	0.688364	0.517814	0.51662	0.576708	0.630063	0.461935	0.70637	0.41805	0.630578	0.454746	0.490239	0.448534	0.654318	0.463341	0.496181	0.473428	0.587613	0.668516	0.564187	0.347176	0.475079	0.584737	0.540818	0.479748	0.617038	0.705671	0.398104	0.575872	0.26988	0.60695	0.533997	0.304012	0.400004	0.490723	0.588366	0.171941	0.532849	0.381026	0.482748	0.692596	0.380312	0.604542	0.658965	0.625742	0.177786	0.558097	0.206145	0.452764	0.278077	0.560691	0.565113	0.672155	0.323503	0.631886	0.571992	0.306489	0.51933	0.456743	0.245537	0.452915	0.491733	0.540747	0.39103	0.343933	0.374252	0.647792	0.516216	0.566728	0.587412	0.460911
g2	-0.732093	-0.0563148	-1.01367	-0.281574	-0.11263	-0.225259	-0.844722	-1.06998	-1.23893	-0.788408	-0.957352	-0.394204	-0.563148	-0.506833	-0.619463	-0.675778	-1.40787	-0.901037	-1.29524	-0.450519	-0.168944	-0.337889	-1.1263	-1.18261	-1.35156	0.674011	0.255877	0.655787	0.392149	0.646558	0.355068	0.430979	0.659816	0.654381	0.492499	0.610892	0.485345	0.248404	0.360006	0.518229	0.477519	0.475725	0.583588	0.443469	0.432773	0.566122	0.576442	0.495409	0.339418	0.623457	0.31531	0.36111	0.53241	0.746663	0.536186	0.404851	0.454598	0.644318	0.390722	0.475285	0.640263	0.295899	0.593957	0.490644	0.722647	0.452762	0.639369	0.635471	0.394609	0.606796	0.638828	0.647015	0.607311	0.473505	0.446481	0.59175	0.501213	0.403664	0.298554	0.422513	0.392768	0.419463	0.475789	0.457931	0.670043	0.453854	0.503709	0.559788	0.484485	0.498272	0.679637	0.534979	0.275044	0.519511	0.412387	0.24273	0.56083	0.307447	0.64808	0.462698	0.56839	0.515686	0.446231	0.326799	0.592562	0.492	0.616899	0.577338	0.520538	0.665748	0.481844	0.551907	0.516061	0.554904	0.573867	0.524456	0.445155	0.533259	0.251512	0.423608	0.549395	0.351889	0.444782	0.470645	0.374383	0.321049	0.489565	0.331694	0.501733	0.256176	0.501774	0.445345	0.32015	0.477367	0.344475	0.524933	0.347389	0.547953	0.688421	0.608747	0.488337	0.35292	0.542547	0.414018	0.542571	0.512938	0.565439	0.365745	0.355655	0.545241	0.510562	0.545495	0.483751	0.291362	0.499343	0.480515	0.521259	0.390781	0.44253	0.700086	0.497059	0.624352	0.380504	0.414776	0.548232	0.462802	0.546566	0.662625	0.3878	0.426782	0.416412	0.388675	0.577409	0.525613	0.386724	0.344868	0.675731	0.442841	0.604733	0.622488	0.440983	0.623496	0.545686	0.66577	0.565391	0.403718	0.221721	0.381609	0.731727	0.517482	0.22961	0.561533	0.413353	0.679857	0.575072	0.60367	0.583345	0.258434	0.573684	0.356884
g3	-0.205191	-0.015784	-0.284111	-0.0789198	-0.0315679	-0.0631358	-0.236759	-0.299895	-0.347247	-0.220975	-0.268327	-0.110488	-0.15784	-0.142056	-0.173623	-0.189407	-0.394599	-0.252543	-0.363031	-0.126272	-0.0473519	-0.0947037	-0.315679	-0.331463	-0.378815	0.369285	0.575014	0.410646	0.427316	0.504583	0.56488	0.658165	0.528752	0.486046	0.343191	0.483473	0.618662	0.5301	0.369239	0.472656	0.552364	0.694088	0.22344	0.341368	0.310038	0.327305	0.533933	0.575585	0.521787	0.579542	0.519255	0.490619	0.625154	0.338975	0.707338	0.452622	0.521984	0.562867	0.341414	0.543036	0.421619	0.450909	0.608979	0.400929	0.388633	0.313519	0.561273	0.405332	0.513951	0.481694	0.622525	0.413099	0.46033	0.314644	0.611403	0.507418	0.608289	0.502503	0.596807	0.277865	0.3115	0.50411	0.283902	0.314675	0.454605	0.483079	0.405599	0.633087	0.453357	0.375556	0.572517	0.769651	0.623895	0.451248	0.409843	0.429226	0.593133	0.58454	0.324402	0.49505	0.690056	0.3449	0.578909	0.331014	0.33755	0.462902	0.518416	0.7112	0.407113	0.50134	0.68908	0.429697	0.446336	0.446758	0.608154	0.547964	0.712817	0.610029	0.568916	0.593661	0.517002	0.651135	0.453658	0.585673	0.391523	0.454582	0.504498	0.514845	0.674378	0.510583	0.429451	0.278342	0.456136	0.694034	0.62801	0.6189	0.525214	0.396658	0.445606	0.606406	0.361027	0.476086	0.393329	0.57872	0.325104	0.495798	0.74382	0.73595	0.301713	0.543471	0.506623	0.285577	0.621531	0.225707	0.527505	0.297594	0.69157	0.282947	0.302846	0.474823	0.658341	0.556496	0.671147	0.573158	0.734064	0.539117	0.507149	0.750811	0.617481	0.595324	0.317666	0.57947	0.399877	0.549388	0.298954	0.362563	0.543596	0.525936	0.357848	0.587837	0.474533	0.485776	0.775187	0.534896	0.44621	0.568676	0.320419	0.516324	0.386054	0.414006	0.461303	0.700614	0.509522	0.392124	0.284839	0.344225	0.617956	0.428839	0.585412	0.469687
g4	-0.513375	-0.0394904	-0.710827	-0.197452	-0.0789807	-0.157961	-0.592356	-0.750317	-0.868788	-0.552865	-0.671336	-0.276433	-0.394904	-0.355413	-0.434394	-0.473884	-0.987259	-0.631846	-0.908278	-0.315923	-0.118471	-0.236942	-0.789807	-0.829298	-0.947769	0.654472	0.31742	0.379287	0.522866	0.517711	0.653839	0.319984	0.371582	0.376278	0.494957	0.264412	0.523809	0.556139	0.40542	0.528226	0.419518	0.412018	0.421791	0.595303	0.468887	0.596451	0.381067	0.674693	0.546651	0.50634	0.65041	0.477592	0.458757	0.450101	0.58059	0.10627	0.555505	0.615763	0.582779	0.489236	0.420029	0.366024	0.315269	0.578876	0.413316	0.641115	0.242458	0.363843	0.616301	0.548273	0.575984	0.56755	0.535551	0.603327	0.693105	0.384747	0.45178	0.701796	0.510801	0.466768	0.667126	0.547939	0.322175	0.552386	0.577094	0.531973	0.57167	0.483613	0.405624	0.760517	0.594871	0.441661	0.421723	0.524456	0.350567	0.422411	0.510877	0.419984	0.384332	0.42167	0.543665	0.580017	0.560346	0.518185	0.531766	0.340867	0.63468	0.335455	0.588477	0.451393	0.294102	0.509444	0.362129	0.402682	0.578224	0.304436	0.596318	0.567098	0.375688	0.510388	0.649894	0.551794	0.598749	0.437734	0.370078	0.459501	0.415969	0.347502	0.446305	0.505354	0.636681	0.401395	0.393724	0.358975	0.49651	0.540959	0.345902	0.516588	0.505135	0.66673	0.231446	0.373736	0.411081	0.461603	0.432494	0.390708	0.713373	0.502125	0.528693	0.636252	0.613276	0.351345	0.401622	0.602707	0.572007	0.557525	0.573803	0.438516	0.449688	0.373703	0.698877	0.515213	0.466799	0.709003	0.635381	0.466447	0.418062	0.442118	0.448687	0.355567	0.633322	0.553915	0.450241	0.662198	0.538896	0.510219	0.620896	0.590913	0.441599	0.451644	0.714965	0.442384	0.532993	0.623635	0.40623	0.626982	0.473144	0.53149	0.594044	0.522117	0.456147	0.497245	0.564048	0.38792	0.576063	0.622304	0.604609	0.490885	0.464414	0.435259
g5	0.174891	0.0134532	0.242157	0.067266	0.0269064	0.0538128	0.201798	0.255611	0.29597	0.188345	0.228704	0.0941723	0.134532	0.121079	0.147985	0.161438	0.33633	0.215251	0.309423	0.107626	0.0403596	0.0807191	0.269064	0.282517	0.322877	0.512515	0.384164	0.55427	0.399913	0.380653	0.245014	0.50609	0.33705	0.521523	0.490367	0.428184	0.291781	0.523434	0.551236	0.5202	0.525488	0.537846	0.414731	0.501009	0.411806	0.572799	0.4278	0.636789	0.44648	0.569998	0.61475	0.448565	0.552285	0.63251	0.510006	0.358917	0.569502	0.454534	0.54484	0.405264	0.360793	0.643621	0.459753	0.372056	0.361436	0.528501	0.307439	0.657349	0.573991	0.401047	0.226829	0.467755	0.353823	0.430959	0.65415	0.178973	0.409946	0.338334	0.494029	0.440798	0.393823	0.628111	0.538344	0.487098	0.363063	0.533376	0.398476	0.365952	0.337425	0.309735	0.421878	0.40698	0.516782	0.444276	0.382713	0.586838	0.49553	0.51597	0.556695	0.377289	0.288967	0.56534	0.441444	0.470865	0.524882	0.744716	0.41175	0.615796	0.477897	0.44131	0.394706	0.623873	0.373179	0.564465	0.649969	0.498892	0.383395	0.394884	0.569043	0.410447	0.286884	0.599335	0.478672	0.586003	0.365844	0.285916	0.521523	0.506052	0.463888	0.482291	0.600453	0.692978	0.427825	0.470705	0.742064	0.618134	0.457523	0.517904	0.55409	0.385642	0.302012	0.51163	0.395508	0.448684	0.468642	0.473766	0.404955	0.344808	0.595779	0.340074	0.45838	0.406318	0.652828	0.527493	0.60718	0.431713	0.593364	0.496728	0.374881	0.525305	0.496351	0.506961	0.732183	0.625537	0.538588	0.306754	0.519027	0.376015	0.485665	0.255481	0.404396	0.393161	0.597866	0.427428	0.677077	0.51442	0.570434	0.660954	0.476752	0.338858	0.305918	0.439626	0.467807	0.627427	0.535535	0.551039	0.49718	0.323906	0.575063	0.473578	0.485794	0.216698	0.527616	0.36141	0.427985	0.164618	0.355117	0.389027	0.587149	0.480265
g6	0.0241328	0.00185637	0.0334146	0.00928185	0.00371274	0.00742548	0.0278455	0.035271	0.0408401	0.0259892	0.0315583	0.0129946	0.0185637	0.0167073	0.0204201	0.0222764	0.0464092	0.0297019	0.0426965	0.014851	0.00556911	0.0111382	0.0371274	0.0389838	0.0445529	0.337002	0.310804	0.476751	0.239214	0.32718	0.411665	0.484133	0.660936	0.565543	0.455564	0.513279	0.670826	0.407872	0.290129	0.513014	0.637242	0.3793	0.587145	0.351659	0.429047	0.318526	0.68169	0.480899	0.455627	0.58995	0.548815	0.404699	0.320368	0.495454	0.256911	0.437285	0.466895	0.662662	0.394875	0.515294	0.490215	0.380026	0.468178	0.454796	0.434404	0.487586	0.388557	0.397234	0.416412	0.431126	0.590779	0.646323	0.665362	0.365529	0.654031	0.461106	0.54818	0.528343	0.471137	0.477364	0.513143	0.21553	0.499091	0.588833	0.509249	0.22916	0.60054	0.413678	0.476927	0.581707	0.623069	0.633762	0.279487	0.424468	0.554151	0.326178	0.648351	0.52918	0.395906	0.461047	0.564898	0.209994	0.45744	0.72966	0.346632	0.54499	0.536739	0.483467	0.341807	0.400468	0.38419	0.485704	0.334516	0.601895	0.506203	0.343623	0.774545	0.491984	0.289923	0.431649	0.644028	0.387948	0.264143	0.445316	0.615632	0.562855	0.557729	0.403786	0.579418	0.531523	0.430225	0.420731	0.653146	0.434686	0.491788	0.565101	0.431857	0.473015	0.28549	0.812444	0.519638	0.712238	0.402326	0.387998	0.45651	0.428992	0.740356	0.539131	0.323024	0.377412	0.44812	0.414569	0.728229	0.545058	0.639324	0.630889	0.646092	0.292161	0.515078	0.632372	0.43772	0.52892	0.486448	0.401416	0.71211	0.210373	0.38821	0.485402	0.5085	0.539595	0.368208	0.724077	0.650066	0.56174	0.353507	0.341647	0.480305	0.535916	0.489703	0.250676	0.484751	0.434052	0.447855	0.563169	0.558851	0.515981	0.283072	0.33207	0.541568	0.419215	0.524501	0.564167	0.555945	0.520403	0.524345	0.545108	0.320813	0.733334	0.510375	0.88599
g7	-0.649102	-0.0499309	-0.898757	-0.249655	-0.0998618	-0.199724	-0.748964	-0.948687	-1.09848	-0.699033	-0.848826	-0.349516	-0.499309	-0.449378	-0.54924	-0.599171	-1.24827	-0.798895	-1.14841	-0.399447	-0.149793	-0.299585	-0.998618	-1.04855	-1.19834	0.40649	0.364787	0.372924	0.543541	0.680717	0.308432	0.493863	0.528004	0.424964	0.503701	0.444711	0.345469	0.509168	0.509369	0.320272	0.510879	0.549805	0.484958	0.67513	0.54646	0.419564	0.355808	0.327527	0.476813	0.410198	0.515207	0.613599	0.441022	0.388927	0.383354	0.415066	0.513959	0.575017	0.313371	0.634786	0.55151	0.438535	0.483148	0.395871	0.480172	0.197043	0.246137	0.467461	0.659267	0.529097	0.582502	0.458813	0.588834	0.441904	0.536035	0.456793	0.350873	0.547511	0.319002	0.631877	0.388763	0.499211	0.250315	0.435949	0.468632	0.613392	0.416808	0.436737	0.4998	0.545375	0.51318	0.818939	0.418173	0.517256	0.695632	0.457932	0.513181	0.353962	0.524478	0.472625	0.295521	0.291026	0.614194	0.536222	0.583067	0.248668	0.452846	0.633638	0.397029	0.532829	0.489739	0.538864	0.385995	0.44868	0.351192	0.327556	0.423778	0.381429	0.411993	0.373503	0.500969	0.551653	0.378582	0.565339	0.630357	0.648262	0.525146	0.54596	0.275249	0.490872	0.487517	0.474519	0.351706	0.531723	0.469289	0.541682	0.407867	0.567389	0.373453	0.342551	0.312336	0.428056	0.380072	0.590522	0.285776	0.38254	0.536832	0.45676	0.191215	0.627399	0.461696	0.509195	0.701715	0.376505	0.605455	0.415028	0.306075	0.440931	0.570381	0.551429	0.544887	0.482717	0.623363	0.378743	0.491976	0.580322	0.570325	0.377805	0.460569	0.477366	0.611589	0.555217	0.451774	0.441832	0.671936	0.525924	0.349085	0.554295	0.652791	0.576131	0.240873	0.42756	0.659644	0.390997	0.300082	0.591964	0.267052	0.526962	0.33699	0.533938	0.596143	0.314613	0.414935	0.395004	0.560673	0.485984	0.758511	0.434416	0.653094	0.673949
g8	0.519225	0.0399403	0.718926	0.199702	0.0798807	0.159761	0.599105	0.758867	0.878688	0.559165	0.678986	0.279582	0.399404	0.359463	0.439344	0.479284	0.998509	0.639046	0.918628	0.319523	0.119821	0.239642	0.798807	0.838747	0.958568	0.452134	0.430784	0.448592	0.530805	0.415007	0.405835	0.612337	0.56556	0.288595	0.449544	0.643657	0.342774	0.36823	0.356472	0.295164	0.601031	0.422627	0.273467	0.38928	0.453001	0.481848	0.289533	0.297655	0.465503	0.659027	0.565531	0.504665	0.513249	0.45279	0.719894	0.333704	0.64574	0.588768	0.496211	0.554916	0.272243	0.553112	0.382681	0.433843	0.298384	0.605373	0.576199	0.474647	0.235508	0.447643	0.476783	0.604448	0.605048	0.501675	0.454256	0.509539	0.449132	0.518697	0.433161	0.409978	0.516347	0.461488	0.493886	0.420654	0.435642	0.488963	0.532272	0.678265	0.484605	0.470753	0.476764	0.707471	0.544209	0.322408	0.362103	0.593682	0.461181	0.435006	0.487167	0.468315	0.52492	0.652467	0.545885	0.447068	0.639772	0.489068	0.53835	0.552717	0.455186	0.454906	0.33874	0.604568	0.488139	0.510939	0.710416	0.532907	0.590727	0.266533	0.426179	0.543078	0.572156	0.615679	0.545051	0.580206	0.528822	0.496918	0.355287	0.266077	0.460932	0.562415	0.537885	0.51436	0.680259	0.421961	0.202585	0.214577	0.548844	0.398957	0.477522	0.462851	0.476879	0.36201	0.357863	0.278154	0.557951	0.369238	0.356916	0.458099	0.426516	0.616271	0.453274	0.422412	0.549216	0.453737	0.380317	0.504782	0.407916	0.576885	0.374322	0.495551	0.802257	0.576311	0.590325	0.565611	0.684768	0.60029	0.500155	0.39438	0.530024	0.429405	0.518671	0.534181	0.487651	0.471742	0.484418	0.334013	0.508517	0.360958	0.539428	0.465902	0.412249	0.635171	0.417977	0.52865	0.618592	0.511168	0.631097	0.397516	0.326166	0.180946	0.450164	0.374163	0.526732	0.620772	0.277967	0.587835	0.51361	0.420018	0.29531	0.647393
g9	0.316439	0.0243415	0.438146	0.121707	0.0486829	0.0973658	0.365122	0.462488	0.535512	0.34078	0.413805	0.17039	0.243415	0.219073	0.267756	0.292098	0.608536	0.389463	0.559854	0.194732	0.0730244	0.146049	0.486829	0.511171	0.584195	0.383054	0.515503	0.601138	0.516165	0.129332	0.463016	0.351361	0.403892	0.584339	0.587252	0.434447	0.338385	0.591398	0.368676	0.526611	0.475636	0.354405	0.50028	0.507105	0.648756	0.342114	0.411548	0.355218	0.371627	0.553355	0.462532	0.521564	0.509146	0.407329	0.440188	0.665211	0.490727	0.624653	0.427923	0.478669	0.368466	0.413345	0.453083	0.375152	0.479993	0.608669	0.439349	0.237736	0.420377	0.241886	0.351092	0.640374	0.362567	0.493332	0.636789	0.494814	0.423405	0.493555	0.447926	0.435694	0.391707	0.584914	0.36516	0.596788	0.612925	0.579462	0.388492	0.411388	0.624765	0.658553	0.405534	0.435753	0.642684	0.340206	0.3519	0.313334	0.701356	0.552767	0.49923	0.46801	0.525265	0.503015	0.449921	0.811375	0.609902	0.561199	0.574457	0.224837	0.3804	0.59733	0.689083	0.591941	0.542976	0.331813	0.577111	0.648137	0.441799	0.353188	0.594379	0.490611	0.468683	0.56514	0.33024	0.648015	0.426007	0.619671	0.418692	0.531161	0.598439	0.748575	0.515449	0.449202	0.472959	0.597147	0.656305	0.429132	0.445875	0.670384	0.535289	0.712781	0.604521	0.545953	0.425543	0.636233	0.644413	0.414555	0.719489	0.370643	0.484219	0.59552	0.499209	0.493423	0.358729	0.596195	0.467179	0.476624	0.536109	0.665432	0.296498	0.583494	0.362771	0.519767	0.432171	0.581976	0.459094	0.468279	0.521732	0.537449	0.601216	0.599824	0.296888	0.425114	0.409463	0.346807	0.408515	0.632615	0.431291	0.776216	0.632352	0.614027	0.523901	0.225221	0.441195	0.666721	0.492921	0.301363	0.443688	0.492925	0.489335	0.442574	0.502624	0.437289	0.49302	0.294706	0.753559	0.360317	0.588119	0.482878	0.585421	0.624599
